month,hs,hs_desc,uom,Export_FOB,Export_Qty,Re_export_FOB,Re_export_Qty,total_export_FOB,total_export_qty,status
202503,6601100000,Umbrellas and sun umbrellas; garden or similar umbrellas,NMB,16487,93,52749,1776,69236,1869,Final
202503,6601910000,"Umbrellas and sun umbrellas; having a telescopic shaft, (excluding garden or similar umbrellas)",NMB,3600,6,155,35,3755,41,Final
202503,6601990000,Umbrellas and sun umbrellas; n.e.c. in heading no. 6601 (including walking stick umbrellas),NMB,186309,4866,191813,10586,378122,15452,Final
202503,6602000900,"Walking-sticks, seat-sticks and the like; excluding shepherds crooks",,0,,390,,390,,Final
202503,6603900019,"Trimmings, accessories and parts of articles of heading no. 6601 or 6602; n.e.c. in heading no. 6603",,0,,22,,22,,Final
202503,6702100000,"Flowers, foliage and fruit, artificial, and parts thereof; articles made of artificial flowers, foliage or fruit, of plastics",,1400,,122,,1522,,Final
202503,6702900000,"Flowers, foliage and fruit, artificial, and parts thereof; articles made of artificial flowers, foliage or fruit, of materials other than plastics",,0,,4682,,4682,,Final
202503,6704190000,"False beards, eyebrows and eyelashes, switches and the like; of synthetic textile materials",,0,,1804,,1804,,Final
202503,6704200000,"Wigs, false beards, eyebrows and eyelashes, switches and the like and other articles n.e.c.; of human hair",,99226,,0,,99226,,Final
202503,6801000000,"Stone; setts, curbstones and flagstones, of natural stone (except slate)",,18390,,0,,18390,,Final
