Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,,
202208,202300021,"Meat; of bovine animals, boneless cuts of veal (bobby), frozen",KGM,"9,737,842","1,277,868",0,0,"9,737,842","1,277,868",Final,,,,
202208,203120009,"Meat; of swine (other than wild pork), hams, shoulders and cuts thereof, with bone in, fresh or chilled",KGM,"4,325",385,0,0,"4,325",385,Final,,,,
202208,203190009,"Meat; of swine (other than wild pork), fresh or chilled, (excluding carcasses, half-carcasses, and hams, shoulders and cuts thereof, with bone in)",KGM,142,20,361,28,503,48,Final,,,,
202208,203220009,"Meat; of swine (other than wild pork), hams, shoulders and cuts thereof, with bone in, frozen",KGM,"58,166","6,007","4,082",664,"62,248","6,670",Final,,,,
202208,203290019,"Meat; of swine n.e.c. in item no. 0203.2, frozen, other than meat bones and hocks",KGM,"205,271","24,294",0,0,"205,271","24,294",Final,,,,
202208,204100038,"Meat; of sheep, lamb carcasses and half-carcasses, YM grade, fresh or chilled",KGM,"74,572","5,143",0,0,"74,572","5,143",Final,,,,
202208,204100042,"Meat; of sheep, lamb carcasses and half-carcasses, YX grade, fresh or chilled",KGM,"124,365","8,540",0,0,"124,365","8,540",Final,,,,
202208,204220001,"Meat; of sheep, lamb cuts with bone in, fresh or chilled (excluding carcasses and half-carcasses)",KGM,"28,014,485","1,399,997",0,0,"28,014,485","1,399,997",Final,,,,
202208,204230001,"Meat; of sheep, boneless cuts of lamb, fresh or chilled",KGM,"19,699,470","887,182",0,0,"19,699,470","887,182",Final,,,,
202208,204300002,"Meat; of sheep, lamb carcasses and half-carcasses, A grade, frozen",KGM,"8,716",757,0,0,"8,716",757,Final,,,,
202208,204300012,"Meat; of sheep, lamb carcasses and half-carcasses, PH grade, frozen",KGM,"1,026,287","113,468",0,0,"1,026,287","113,468",Final,,,,
202208,204300022,"Meat; of sheep, lamb carcasses and half-carcasses, PM grade, frozen",KGM,"168,114","17,014",0,0,"168,114","17,014",Final,,,,
202208,204300028,"Meat; of sheep, lamb carcasses and half-carcasses, PX grade, frozen",KGM,"256,227","23,804",0,0,"256,227","23,804",Final,,,,
202208,204300032,"Meat; of sheep, lamb carcasses and half-carcasses, YL grade, frozen",KGM,"348,482","30,543",0,0,"348,482","30,543",Final,,,,
202208,204300038,"Meat; of sheep, lamb carcasses and half-carcasses, YM grade, frozen",KGM,"1,211,079","134,425",0,0,"1,211,079","134,425",Final,,,,
202208,204300042,"Meat; of sheep, lamb carcasses and half-carcasses, YX grade, frozen",KGM,"305,116","26,866",0,0,"305,116","26,866",Final,,,,
202208,204300048,"Meat; of sheep, lamb carcasses and half-carcasses n.e.c. in item no. 0204.30, frozen",KGM,"222,210","25,328",0,0,"222,210","25,328",Final,,,,
202208,204410022,"Meat; of sheep, mutton carcasses and half-carcasses, MF grade, frozen",KGM,"375,391","51,205",0,0,"375,391","51,205",Final,,,,
202208,204410028,"Meat; of sheep, mutton carcasses and half-carcasses, MH grade, frozen",KGM,"549,174","71,915",0,0,"549,174","71,915",Final,,,,
202208,204410032,"Meat; of sheep, mutton carcasses and half-carcasses, ML grade, frozen",KGM,"2,480,260","324,874",0,0,"2,480,260","324,874",Final,,,,
202208,204410038,"Meat; of sheep, mutton carcasses and half-carcasses, MM grade, frozen",KGM,"100,542","13,656",0,0,"100,542","13,656",Final,,,,
202208,204410042,"Meat; of sheep, mutton carcasses and half-carcasses, MX grade, frozen",KGM,"11,344,629","1,438,166",0,0,"11,344,629","1,438,166",Final,,,,
202208,204410048,"Meat; of sheep, mutton carcasses and half-carcasses n.e.c. in item no. 0204.41, frozen",KGM,"322,385","48,294",0,0,"322,385","48,294",Final,,,,
202208,204410058,"Meat; of sheep, ram carcasses and half-carcasses, frozen",KGM,"82,485","11,658",0,0,"82,485","11,658",Final,,,,
202208,204420001,"Meat; of sheep, lamb cuts with bone in, frozen (excluding carcasses and half-carcasses)",KGM,"145,874,305","13,244,085",0,0,"145,874,305","13,244,085",Final,,,,
202208,204420009,"Meat; of sheep (excluding lamb), cuts with bone in, frozen (excluding carcasses and half-carcasses)",KGM,"23,662,928","3,586,769",0,0,"23,662,928","3,586,769",Final,,,,
202208,204430001,"Meat; of sheep, boneless cuts of lamb, frozen",KGM,"31,429,406","1,940,821",0,0,"31,429,406","1,940,821",Final,,,,
202208,204430009,"Meat; of sheep (excluding lamb), boneless cuts, frozen",KGM,"3,744,438","244,986",0,0,"3,744,438","244,986",Final,,,,
202208,204500000,"Meat; of goats, fresh, chilled or frozen",KGM,"1,519,795","111,717",0,0,"1,519,795","111,717",Final,,,,
202208,206100029,"Offal, edible; of bovine animals, tongues, fresh or chilled",KGM,"291,818","11,437",0,0,"291,818","11,437",Final,,,,
202208,206100039,"Offal, edible; of bovine animals, n.e.c. in item no. 0206.10, fresh or chilled",KGM,"583,202","42,649",0,0,"583,202","42,649",Final,,,,
202208,206210000,"Offal, edible; of bovine animals, tongues, frozen",KGM,"5,616,372","487,428",0,0,"5,616,372","487,428",Final,,,,
202208,206220000,"Offal, edible; of bovine animals, livers, frozen",KGM,"859,004","424,574",0,0,"859,004","424,574",Final,,,,
202208,206290009,"Offal, edible; of bovine animals, hearts, frozen",KGM,"876,517","213,653",0,0,"876,517","213,653",Final,,,,
202208,206290011,"Offal, edible; of bovine animals, kidneys, frozen",KGM,"229,300","62,396",0,0,"229,300","62,396",Final,,,,
202208,206290029,"Offal, edible; of bovine animals, n.e.c. in item no. 0206.2, frozen",KGM,"14,183,911","1,473,424",0,0,"14,183,911","1,473,424",Final,,,,
202208,206900009,"Offal, edible; of lamb, hearts, frozen",KGM,"190,641","33,601",0,0,"190,641","33,601",Final,,,,
202208,206900011,"Offal, edible; of lamb, kidneys, frozen",KGM,"878,390","97,615",0,0,"878,390","97,615",Final,,,,
202208,206900019,"Offal, edible; of lamb, livers, frozen",KGM,"679,746","284,223",0,0,"679,746","284,223",Final,,,,
202208,206900021,"Offal, edible; of lamb, sweetbreads, frozen",KGM,"48,982","5,247",0,0,"48,982","5,247",Final,,,,
202208,206900029,"Offal, edible; of lamb, tongues, frozen",KGM,"85,733","8,854",0,0,"85,733","8,854",Final,,,,
202208,206900039,"Offal, edible; of lamb, n.e.c. in item no. 0206.90, frozen",KGM,"1,132,407","117,535",0,0,"1,132,407","117,535",Final,,,,
202208,206900049,"Offal, edible; of sheep (excluding lamb), hearts, frozen",KGM,"335,211","48,150",0,0,"335,211","48,150",Final,,,,
202208,206900059,"Offal, edible; of sheep (excluding lamb), livers, frozen",KGM,"546,398","157,494",0,0,"546,398","157,494",Final,,,,
202208,206900069,"Offal, edible; of sheep (excluding lamb), tongues, frozen",KGM,542,61,0,0,542,61,Final,,,,
202208,206900079,"Offal, edible; of sheep (excluding lamb), n.e.c. in item no. 0206.90, frozen",KGM,"387,294","61,062",0,0,"387,294","61,062",Final,,,,
202208,207110000,"Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, fresh or chilled",KGM,"31,408","3,904",0,0,"31,408","3,904",Final,,,,
202208,207120000,"Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, frozen",KGM,"291,350","79,002",0,0,"291,350","79,002",Final,,,,
202208,207130000,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, fresh or chilled",KGM,"495,029","75,091",0,0,"495,029","75,091",Final,,,,
202208,207141000,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen, livers",KGM,235,50,0,0,235,50,Final,,,,
202208,207149000,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen, excluding livers",KGM,"1,801,437","530,419",0,0,"1,801,437","530,419",Final,,,,
202208,207250000,"Meat and edible offal; of turkeys, not cut in pieces, frozen",KGM,"89,005","7,005",0,0,"89,005","7,005",Final,,,,
202208,207279000,"Meat and edible offal; of turkeys, cuts and offal, frozen, excluding livers",KGM,"18,978",848,0,0,"18,978",848,Final,,,,
202208,207420010,"Meat and edible offal; of ducks, not cut in pieces, frozen",KGM,"16,318","1,806",0,0,"16,318","1,806",Final,,,,
202208,207459000,"Meat and edible offal; of ducks, cuts and offal, excluding fatty livers, frozen, excluding livers",KGM,"12,250",605,0,0,"12,250",605,Final,,,,
202208,208900011,"Meat and edible meat offal; of deer, fresh, chilled or frozen, pizzles",KGM,"92,540","1,677",0,0,"92,540","1,677",Final,,,,
202208,208900013,"Meat and edible meat offal; of deer, fresh, chilled or frozen, tails",KGM,"518,796","2,568",0,0,"518,796","2,568",Final,,,,
202208,208900015,"Meat and edible meat offal; of deer, fresh, chilled or frozen, offal (excluding pizzles or tails)",KGM,"418,624","28,270",0,0,"418,624","28,270",Final,,,,
202208,208900017,"Edible meat; other than offal, of deer, venison, chilled",KGM,"2,584,182","97,296",0,0,"2,584,182","97,296",Final,,,,
202208,208900018,"Edible meat; other than offal, of deer, venison, frozen",KGM,"10,416,830","924,320",0,0,"10,416,830","924,320",Final,,,,
202208,210120000,"Meat; of swine, bellies (streaky) and cuts thereof, salted, in brine, dried or smoked",KGM,0,0,190,19,190,19,Final,,,,
202208,210190001,"Meat; of swine, bacon, salted, in brine, dried or smoked",KGM,"33,748","2,942","10,770",779,"44,518","3,721",Final,,,,
202208,210190019,"Meat; of swine, n.e.c. in heading 0210, smoked",KGM,"53,995","1,524",0,0,"53,995","1,524",Final,,,,
202208,210200000,"Meat; of bovine animals, salted, in brine, dried or smoked",KGM,"25,617",437,0,0,"25,617",437,Final,,,,
202208,210993029,"Meat and edible meat offal; of deer, venison, salted, in brine, dried or smoked",KGM,574,7,0,0,574,7,Final,,,,
202208,210993050,"Meat and edible meat offal; salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal, n.e.c. in heading 0210",KGM,"1,051,212","9,822",0,0,"1,051,212","9,822",Final,,,,
202208,301920000,"Fish; live, eels (anguilla spp.)",KGM,"139,714","7,914",0,0,"139,714","7,914",Final,,,,
202208,302130010,"Fish; fresh or chilled, Pacific salmon (Oncorhynchus nerka/gorbuscha/keta/tschawytscha/kisutch/masou/rhodurus), whole",KGM,"5,457,739","243,161",0,0,"5,457,739","243,161",Final,,,,
