Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status
202505,2202100100,"Waters; including mineral and aerated, containing added sugar or other sweetening matter or flavoured, in metal containers",LTR,"8,810,149","3,791,334","41,538","9,718","8,851,687","3,801,052",Final
202505,2202100900,"Waters; including mineral and aerated, containing added sugar or other sweetening matter or flavoured, other than in metal containers",LTR,"4,569,451","3,242,239","111,397","9,491","4,680,848","3,251,731",Final
202505,2202911019,"Non-alcoholic beverages; non-alcoholic beer, in metal containers, not containing deer products",LTR,"14,032","2,614",0,0,"14,032","2,614",Final
202505,2202919019,"Non-alcoholic beverages; non-alcoholic beer, other than in metal containers, not containing deer products",LTR,"4,769","1,130",0,0,"4,769","1,130",Final
202505,2202991019,"Non-alcoholic beverages; other than non-alcoholic beer, n.e.c. in item no. 2202.10, (not including fruit, nut or vegetable juices of heading no. 2009), in metal containers, not containing deer products",LTR,"807,671","181,599","920,672","168,349","1,728,343","349,948",Final
202505,2202999010,"Non-alcoholic beverages; other than non-alcoholic beer, n.e.c. in item no. 2202.10, (not including fruit, nut or vegetable juices of heading no. 2009), other than in metal containers, containing deer products",LTR,"1,105",198,0,0,"1,105",198,Final
202505,2202999020,"Non-alcoholic beverages; other than non-alcoholic beer, n.e.c. in item no. 2202.10, (not including fruit, nut or vegetable juices of heading no. 2009), other than in metal containers, not containing deer products",LTR,"6,251,294","1,671,728","28,386","5,543","6,279,680","1,677,271",Final
202505,2203000201,"Beer; made from malt, containing not more than 1.15% vol., in cans",LTR,"43,929","9,559",0,0,"43,929","9,559",Final
202505,2203000209,"Beer; made from malt, containing not more than 1.15% vol., not in cans",LTR,"3,528",867,0,0,"3,528",867,Final
202505,2203001201,"Beer; made from malt, containing more than 1.15% vol. but not more than 2.5% vol., in cans",LTR,"1,140",396,0,0,"1,140",396,Final
202505,2203001209,"Beer; made from malt, containing more than 1.15% vol. but not more than 2.5% vol., not in cans",LTR,240,99,0,0,240,99,Final
202505,2203002202,"Beer; made from malt, containing more than 2.5% vol., but not more than 4.35% vol., in cans",LPA,"67,365","1,025",0,0,"67,365","1,025",Final
202505,2203002208,"Beer; made from malt, containing more than 2.5% vol., but not more than 4.35% vol., not in cans",LPA,"673,512","17,009",0,0,"673,512","17,009",Final
202505,2203003102,"Beer; made from malt, containing more than 4.35% vol., but not more than 5% vol., in cans",LPA,"213,352","3,797","6,760",74,"220,112","3,871",Final
202505,2203003108,"Beer; made from malt, containing more than 4.35% vol., but not more than 5% vol., not in cans",LPA,"796,697","19,692","29,397",346,"826,094","20,038",Final
202505,2203003902,"Beer; made from malt, containing more than 5% vol., in cans",LPA,"377,426","4,168","55,650","1,562","433,076","5,730",Final
202505,2203003908,"Beer; made from malt, containing more than 5% vol., not in cans",LPA,"395,686","4,364",0,0,"395,686","4,364",Final
202505,2204100100,"Wine; sparkling, champagne",LTR,835,24,"15,485",473,"16,320",497,Final
202505,2204101209,"Wine; sparkling, for further manufacture in a licensed manufacturing area, white",LTR,0,0,960,2,960,2,Final
202505,2204101801,"Wine; sparkling, (other than for manufacture in a licensed manufacturing area), red",LTR,"187,866","9,573","2,790",210,"190,656","9,783",Final
202505,2204101809,"Wine; sparkling, (other than for manufacture in a licensed manufacturing area), white",LTR,"822,265","54,344","173,101","20,509","995,366","74,853",Final
202505,2204210201,"Wine; still, for further manufacture in a licensed manufacturing area, containing not more than 14% vol., white, in containers of a capacity not exceeding 750ml",LTR,"82,411","4,505",0,0,"82,411","4,505",Final
202505,2204210209,"Wine; still, for further manufacture in a licensed manufacturing area, containing not more than 14% vol., white, in containers of a capacity exceeding 750ml but not exceeding 2 litres",LTR,"48,000","5,400",0,0,"48,000","5,400",Final
