Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status
202307,2202919019,"Non-alcoholic beverages; non-alcoholic beer, other than in metal containers, not containing deer products",LTR,"6,597","1,095","1,500",24,"8,097","1,119",Provisional
202307,2202991019,"Non-alcoholic beverages; other than non-alcoholic beer, n.e.c. in item no. 2202.10, (not including fruit, nut or vegetable juices of heading no. 2009), in metal containers, not containing deer products",LTR,"52,194","12,481","205,077","37,203","257,271","49,684",Provisional
202307,2202999020,"Non-alcoholic beverages; other than non-alcoholic beer, n.e.c. in item no. 2202.10, (not including fruit, nut or vegetable juices of heading no. 2009), other than in metal containers, not containing deer products",LTR,"3,263,719","784,242","180,092","12,121","3,443,811","796,363",Provisional
202307,2203000201,"Beer; made from malt, containing not more than 1.15% vol., in cans",LTR,"7,971","1,585",0,0,"7,971","1,585",Provisional
202307,2203000209,"Beer; made from malt, containing not more than 1.15% vol., not in cans",LTR,"4,058","1,071",0,0,"4,058","1,071",Provisional
202307,2203001201,"Beer; made from malt, containing more than 1.15% vol. but not more than 2.5% vol., in cans",LTR,134,79,0,0,134,79,Provisional
202307,2203001209,"Beer; made from malt, containing more than 1.15% vol. but not more than 2.5% vol., not in cans",LTR,"3,472","1,041",0,0,"3,472","1,041",Provisional
202307,2203002202,"Beer; made from malt, containing more than 2.5% vol., but not more than 4.35% vol., in cans",LPA,"69,349",945,0,0,"69,349",945,Provisional
202307,2203002208,"Beer; made from malt, containing more than 2.5% vol., but not more than 4.35% vol., not in cans",LPA,"612,931","17,593",0,0,"612,931","17,593",Provisional
202307,2203003102,"Beer; made from malt, containing more than 4.35% vol., but not more than 5% vol., in cans",LPA,"398,791","9,261","47,066","1,497","445,857","10,757",Provisional
202307,2203003108,"Beer; made from malt, containing more than 4.35% vol., but not more than 5% vol., not in cans",LPA,"1,019,091","28,892","221,916","2,963","1,241,007","31,856",Provisional
202307,2203003902,"Beer; made from malt, containing more than 5% vol., in cans",LPA,"448,808","4,387",722,4,"449,530","4,391",Provisional
202307,2203003908,"Beer; made from malt, containing more than 5% vol., not in cans",LPA,"571,624","31,163","1,978",26,"573,602","31,188",Provisional
202307,2204100100,"Wine; sparkling, champagne",LTR,"1,554",61,"25,414",576,"26,968",637,Provisional
