Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,,
202207,202300011,"Meat; of bovine animals, boneless cuts of bull, frozen",KGM,"78,869,426","6,807,789",0,0,"78,869,426","6,807,789",Final,,,,
202207,202300021,"Meat; of bovine animals, boneless cuts of veal (bobby), frozen",KGM,"918,835","107,816",0,0,"918,835","107,816",Final,,,,
202207,202300029,"Meat; of bovine animals, boneless cuts of veal (other than bobby), frozen",KGM,"6,715",862,0,0,"6,715",862,Final,,,,
202207,203120009,"Meat; of swine (other than wild pork), hams, shoulders and cuts thereof, with bone in, fresh or chilled",KGM,"4,033",337,0,0,"4,033",337,Final,,,,
202207,203190009,"Meat; of swine (other than wild pork), fresh or chilled, (excluding carcasses, half-carcasses, and hams, shoulders and cuts thereof, with bone in)",KGM,"4,815",713,0,0,"4,815",713,Final,,,,
202207,203220009,"Meat; of swine (other than wild pork), hams, shoulders and cuts thereof, with bone in, frozen",KGM,"110,039","12,951","3,996",564,"114,035","13,515",Final,,,,
202207,203290019,"Meat; of swine n.e.c. in item no. 0203.2, frozen, other than meat bones and hocks",KGM,"138,395","32,172",0,0,"138,395","32,172",Final,,,,
202207,204100002,"Meat; of sheep, lamb carcasses and half-carcasses, A grade, fresh or chilled",KGM,894,20,0,0,894,20,Final,,,,
202207,204100038,"Meat; of sheep, lamb carcasses and half-carcasses, YM grade, fresh or chilled",KGM,"68,056","4,571",0,0,"68,056","4,571",Final,,,,
202207,204100042,"Meat; of sheep, lamb carcasses and half-carcasses, YX grade, fresh or chilled",KGM,"76,794","5,199",0,0,"76,794","5,199",Final,,,,
202207,204220001,"Meat; of sheep, lamb cuts with bone in, fresh or chilled (excluding carcasses and half-carcasses)",KGM,"27,254,029","1,293,709",0,0,"27,254,029","1,293,709",Final,,,,
202207,204220009,"Meat; of sheep (excluding lamb), cuts with bone in, fresh or chilled, (excluding carcasses and half-carcasses)",KGM,"49,553","2,855",0,0,"49,553","2,855",Final,,,,
202207,204230001,"Meat; of sheep, boneless cuts of lamb, fresh or chilled",KGM,"22,384,578","943,788",0,0,"22,384,578","943,788",Final,,,,
202207,204230009,"Meat; of sheep (excluding lamb), boneless cuts, fresh or chilled",KGM,287,15,0,0,287,15,Final,,,,
202207,204300002,"Meat; of sheep, lamb carcasses and half-carcasses, A grade, frozen",KGM,"414,823","38,782",0,0,"414,823","38,782",Final,,,,
202207,204300012,"Meat; of sheep, lamb carcasses and half-carcasses, PH grade, frozen",KGM,"1,141,610","124,746",0,0,"1,141,610","124,746",Final,,,,
202207,204300022,"Meat; of sheep, lamb carcasses and half-carcasses, PM grade, frozen",KGM,"1,296,973","141,475",0,0,"1,296,973","141,475",Final,,,,
202207,204300028,"Meat; of sheep, lamb carcasses and half-carcasses, PX grade, frozen",KGM,"299,035","28,152",0,0,"299,035","28,152",Final,,,,
202207,204300032,"Meat; of sheep, lamb carcasses and half-carcasses, YL grade, frozen",KGM,"540,330","47,621",0,0,"540,330","47,621",Final,,,,
202207,204300038,"Meat; of sheep, lamb carcasses and half-carcasses, YM grade, frozen",KGM,"1,487,005","135,177",0,0,"1,487,005","135,177",Final,,,,
202207,204300042,"Meat; of sheep, lamb carcasses and half-carcasses, YX grade, frozen",KGM,"270,549","23,131",0,0,"270,549","23,131",Final,,,,
202207,204300048,"Meat; of sheep, lamb carcasses and half-carcasses n.e.c. in item no. 0204.30, frozen",KGM,"407,269","46,323",0,0,"407,269","46,323",Final,,,,
202207,204410022,"Meat; of sheep, mutton carcasses and half-carcasses, MF grade, frozen",KGM,"338,203","43,059",0,0,"338,203","43,059",Final,,,,
202207,204410028,"Meat; of sheep, mutton carcasses and half-carcasses, MH grade, frozen",KGM,"702,646","91,552",0,0,"702,646","91,552",Final,,,,
202207,204410032,"Meat; of sheep, mutton carcasses and half-carcasses, ML grade, frozen",KGM,"3,285,274","416,482",0,0,"3,285,274","416,482",Final,,,,
202207,204410038,"Meat; of sheep, mutton carcasses and half-carcasses, MM grade, frozen",KGM,"265,644","32,906",0,0,"265,644","32,906",Final,,,,
202207,204410042,"Meat; of sheep, mutton carcasses and half-carcasses, MX grade, frozen",KGM,"13,193,736","1,634,282",0,0,"13,193,736","1,634,282",Final,,,,
202207,204410048,"Meat; of sheep, mutton carcasses and half-carcasses n.e.c. in item no. 0204.41, frozen",KGM,"697,513","96,128",0,0,"697,513","96,128",Final,,,,
202207,204410058,"Meat; of sheep, ram carcasses and half-carcasses, frozen",KGM,"24,002","3,279",0,0,"24,002","3,279",Final,,,,
202207,204420001,"Meat; of sheep, lamb cuts with bone in, frozen (excluding carcasses and half-carcasses)",KGM,"228,516,512","20,615,983","18,795","2,100","228,535,307","20,618,083",Final,,,,
202207,204420009,"Meat; of sheep (excluding lamb), cuts with bone in, frozen (excluding carcasses and half-carcasses)",KGM,"27,173,307","4,179,965",0,0,"27,173,307","4,179,965",Final,,,,
202207,204430001,"Meat; of sheep, boneless cuts of lamb, frozen",KGM,"40,161,792","2,546,451",0,0,"40,161,792","2,546,451",Final,,,,
202207,204430009,"Meat; of sheep (excluding lamb), boneless cuts, frozen",KGM,"5,234,707","358,884",0,0,"5,234,707","358,884",Final,,,,
202207,204500000,"Meat; of goats, fresh, chilled or frozen",KGM,"1,552,237","109,850",0,0,"1,552,237","109,850",Final,,,,
202207,206100019,"Offal, edible; of bovine animals, livers, fresh or chilled",KGM,47,18,0,0,47,18,Final,,,,
202207,206100029,"Offal, edible; of bovine animals, tongues, fresh or chilled",KGM,"354,168","14,380",0,0,"354,168","14,380",Final,,,,
202207,206100039,"Offal, edible; of bovine animals, n.e.c. in item no. 0206.10, fresh or chilled",KGM,"685,829","49,139",0,0,"685,829","49,139",Final,,,,
202207,206210000,"Offal, edible; of bovine animals, tongues, frozen",KGM,"9,197,126","735,990",0,0,"9,197,126","735,990",Final,,,,
202207,206220000,"Offal, edible; of bovine animals, livers, frozen",KGM,"1,362,226","591,286",0,0,"1,362,226","591,286",Final,,,,
202207,206290009,"Offal, edible; of bovine animals, hearts, frozen",KGM,"1,377,369","331,651",0,0,"1,377,369","331,651",Final,,,,
202207,206290011,"Offal, edible; of bovine animals, kidneys, frozen",KGM,"211,977","63,769",0,0,"211,977","63,769",Final,,,,
202207,206290019,"Offal, edible; of bovine animals, sweetbreads, frozen",KGM,"16,872","1,776",0,0,"16,872","1,776",Final,,,,
202207,206290029,"Offal, edible; of bovine animals, n.e.c. in item no. 0206.2, frozen",KGM,"16,028,971","1,666,003",0,0,"16,028,971","1,666,003",Final,,,,
202207,206900009,"Offal, edible; of lamb, hearts, frozen",KGM,"590,833","131,240",0,0,"590,833","131,240",Final,,,,
202207,206900011,"Offal, edible; of lamb, kidneys, frozen",KGM,"1,221,115","145,279",0,0,"1,221,115","145,279",Final,,,,
202207,206900019,"Offal, edible; of lamb, livers, frozen",KGM,"828,973","361,559",0,0,"828,973","361,559",Final,,,,
202207,206900021,"Offal, edible; of lamb, sweetbreads, frozen",KGM,"94,756","11,545",0,0,"94,756","11,545",Final,,,,
