Month,Harmonised System Code,Harmonised System Description,Unit Qty,Imports ($NZD vfd),Imports ($NZD cif),Imports Qty,Status,,
201904,101210010,"Horses; live, pure-bred breeding animals, thoroughbred, race breeding stock, stallions",NMB,"7,255","9,333",2,Final,,
201904,101210015,"Horses; live, pure-bred breeding animals, thoroughbred, race breeding stock, mares",NMB,"840,130","903,680",10,Final,,
201904,101210049,"Horses; live, pure-bred breeding animals, standardbred, breeding stock, excluding race or sport breeding stock, mares",NMB,"7,181","10,287",3,Final,,
201904,101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,"2,839,534","3,054,884",35,Final,,
201904,101290013,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies",NMB,"3,832,454","3,943,504",17,Final,,
201904,101290017,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, mares and fillies",NMB,"76,000","87,600",2,Final,,
201904,101290027,"Horses; live, other than pure-bred breeding animals, sport horses, other than for racing, standardbred, stallions, colts, and geldings",NMB,"15,000","20,650",1,Final,,
201904,101290029,"Horses; live, other than pure-bred breeding animals, sport horses, other than for racing, standardbred, mares and fillies",NMB,"35,000","41,250",1,Final,,
201904,101290039,"Horses; live, other than pure-bred breeding animals, excluding sport horses or horses for racing, other than mares or stallions",NMB,"166,947","226,197",10,Final,,
201904,104100001,"Sheep; live, for breeding",NMB,"3,555","13,429",47,Final,,
201904,106190019,"Mammals; live, dogs",NMB,"52,037","97,684",33,Final,,
201904,106190029,"Mammals; live, other than primates, whales, dolphins, porpoises (order Cetacea), manatees, dugongs (order Sirenia), seals, sea lions, walruses (suborder Pinnipedia), camels, other camelids, rabbits, hares, deer, and dogs",NMB,"17,736","52,719",103,Final,,
201904,106490000,"Insects; live, other than bees",NMB,"4,537","5,980","1,340",Final,,
201904,106900000,"Animals; live, n.e.c. in chapter 01, other than mammals, reptiles, birds, and insects",NMB,393,415,30,Final,,
201904,201200049,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,"4,674","5,234",251,Final,,
201904,201300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,"641,945","670,545","61,828",Final,,
201904,202200049,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"106,603","108,171","5,997",Final,,
201904,202200059,"Meat; of bovine animals, veal (other than bobby) quarters and cuts, with bone in, frozen (excluding carcasses and half-carcasses)",KGM,144,165,5,Final,,
201904,202200069,"Meat; of bovine animals, cuts with bone in n.e.c. in item no. 0202.20, frozen",KGM,"2,076","2,148",721,Final,,
201904,202300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, frozen",KGM,"811,438","818,482","111,775",Final,,
201904,202300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, frozen",KGM,"1,363,470","1,404,785","247,262",Final,,
201904,202300029,"Meat; of bovine animals, boneless cuts of veal (other than bobby), frozen",KGM,745,857,18,Final,,
201904,203190009,"Meat; of swine (other than wild pork), fresh or chilled, (excluding carcasses, half-carcasses, and hams, shoulders and cuts thereof, with bone in)",KGM,"78,165","89,071","18,950",Final,,
201904,203210008,"Meat; of swine, carcasses and half-carcasses, (other than wild pork), frozen",KGM,"46,658","53,950","23,978",Final,,
201904,203220009,"Meat; of swine (other than wild pork), hams, shoulders and cuts thereof, with bone in, frozen",KGM,"683,830","732,760","217,246",Final,,
201904,203290011,"Meat; of swine n.e.c. in item no. 0203.2, frozen, meat bones and hocks",KGM,"1,008,665","1,083,909","427,581",Final,,
201904,203290019,"Meat; of swine n.e.c. in item no. 0203.2, frozen, other than meat bones and hocks",KGM,"13,921,610","14,704,509","3,404,620",Final,,
201904,204220001,"Meat; of sheep, lamb cuts with bone in, fresh or chilled (excluding carcasses and half-carcasses)",KGM,"91,160","92,355","4,372",Final,,
201904,204220009,"Meat; of sheep (excluding lamb), cuts with bone in, fresh or chilled, (excluding carcasses and half-carcasses)",KGM,"53,113","53,965","8,321",Final,,
201904,204230001,"Meat; of sheep, boneless cuts of lamb, fresh or chilled",KGM,41,42,6,Final,,
201904,204230009,"Meat; of sheep (excluding lamb), boneless cuts, fresh or chilled",KGM,"15,744","15,997","2,450",Final,,
201904,204420001,"Meat; of sheep, lamb cuts with bone in, frozen (excluding carcasses and half-carcasses)",KGM,"705,127","715,632","146,007",Final,,
201904,204420009,"Meat; of sheep (excluding lamb), cuts with bone in, frozen (excluding carcasses and half-carcasses)",KGM,"337,054","342,068","48,556",Final,,
201904,204430001,"Meat; of sheep, boneless cuts of lamb, frozen",KGM,"132,862","136,209","19,838",Final,,
201904,204430009,"Meat; of sheep (excluding lamb), boneless cuts, frozen",KGM,"3,317","3,370",520,Final,,
201904,204500000,"Meat; of goats, fresh, chilled or frozen",KGM,190,246,162,Final,,
201904,206210000,"Offal, edible; of bovine animals, tongues, frozen",KGM,"6,261","6,946","1,520",Final,,
201904,206290011,"Offal, edible; of bovine animals, kidneys, frozen",KGM,"5,046","5,111","2,148",Final,,
201904,206290029,"Offal, edible; of bovine animals, n.e.c. in item no. 0206.2, frozen",KGM,"19,703","19,957","2,373",Final,,
201904,206300029,"Offal, edible; of swine, n.e.c. in item no. 0206.30, fresh or chilled",KGM,"36,752","37,234","6,000",Final,,
201904,206490001,"Offal, edible; of swine, hearts, frozen",KGM,"61,752","69,137","47,990",Final,,
201904,206490009,"Offal, edible; of swine, kidneys, frozen",KGM,"1,554","1,724","2,000",Final,,
201904,206490019,"Offal, edible; of swine, n.e.c. in item no. 0206.4, frozen",KGM,"111,737","126,772","31,850",Final,,
201904,206900011,"Offal, edible; of lamb, kidneys, frozen",KGM,"2,696","2,739",422,Final,,
201904,206900039,"Offal, edible; of lamb, n.e.c. in item no. 0206.90, frozen",KGM,802,815,125,Final,,
201904,206900049,"Offal, edible; of sheep (excluding lamb), hearts, frozen",KGM,"63,464","65,170","23,963",Final,,
201904,208900049,"Meat and edible meat offal; n.e.c. in chapter 02, fresh, chilled or frozen",KGM,"38,861","42,169","18,025",Final,,
201904,209100000,"Fat; pig fat, free of lean meat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked",TNE,"45,042","52,199",47,Final,,
201904,210110009,"Meat; of swine, hams, shoulders and cuts thereof, with bone in, salted, in brine or dried",KGM,"9,720","13,875",165,Final,,
201904,210190001,"Meat; of swine, bacon, salted, in brine, dried or smoked",KGM,"357,420","371,488","36,819",Final,,
201904,210190011,"Meat; of swine, pork n.e.c. in heading 0210, salted or pickled",KGM,"69,094","76,514","3,256",Final,,
201904,210190019,"Meat; of swine, n.e.c. in heading 0210, smoked",KGM,"2,923","5,003",37,Final,,
201904,210190029,"Meat; of swine, n.e.c. in heading 0210, dried",KGM,"191,844","203,742","15,220",Final,,
201904,210200000,"Meat; of bovine animals, salted, in brine, dried or smoked",KGM,"12,952","13,970",260,Final,,
201904,210993049,"Meat and edible meat offal; salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal, n.e.c. in heading 0210",KGM,"1,206","1,310",78,Final,,
201904,301110000,"Fish; live, ornamental, freshwater",KGM,"23,664","30,714",789,Final,,
201904,301190000,"Fish; live, ornamental, other than freshwater",KGM,"32,960","41,689","1,207",Final,,
201904,302130015,"Fish; fresh or chilled, Pacific salmon (Oncorhynchus nerka/gorbuscha/keta/tschawytscha/kisutch/masou/rhodurus), headed and gutted",KGM,"83,542","94,645","5,500",Final,,
201904,302310011,"Fish; fresh or chilled, albacore or longfinned tunas (Thunnus alalunga), headed and gutted",KGM,"1,570","1,573",188,Final,,
201904,302320011,"Fish; fresh or chilled, yellowfin tunas (Thunnus albacares), headed and gutted",KGM,"136,060","161,935","20,122",Final,,
201904,302340012,"Fish; fresh or chilled, bigeye tunas (Thunnus obesus), headed and gutted",KGM,"2,490","2,703",263,Final,,
201904,302470015,"Fish; fresh or chilled, swordfish (Xiphias gladius), headed and gutted",KGM,"4,984","5,564",729,Final,,
201904,302490019,"Fish; fresh or chilled, n.e.c. in item no. 0302.4, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,565,704,79,Final,,
201904,302892079,"Fish; fresh or chilled, n.e.c. in heading 0302, headed and gutted",KGM,596,597,75,Final,,
201904,303530010,"Fish; frozen, sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), whole",KGM,"101,909","115,043","52,137",Final,,
201904,303530029,"Fish; frozen, sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), excluding fillets, fish meat of 0304, and edible fish offal of 0303.91 to 0303.99, other than whole or headed and gutted",KGM,695,"1,382",306,Final,,
201904,303540015,"Fish; frozen, mackerel (Scomber scombrus, Scomber japonicus), whole",KGM,"14,102","15,960","7,005",Final,,
