Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,,
202201,202300021,"Meat; of bovine animals, boneless cuts of veal (bobby), frozen",KGM,"1,907,405","283,406",0,0,"1,907,405","283,406",Final,,,,
202201,203120009,"Meat; of swine (other than wild pork), hams, shoulders and cuts thereof, with bone in, fresh or chilled",KGM,"1,614",177,0,0,"1,614",177,Final,,,,
202201,203190009,"Meat; of swine (other than wild pork), fresh or chilled, (excluding carcasses, half-carcasses, and hams, shoulders and cuts thereof, with bone in)",KGM,"4,079",649,0,0,"4,079",649,Final,,,,
202201,203220009,"Meat; of swine (other than wild pork), hams, shoulders and cuts thereof, with bone in, frozen",KGM,"18,188","2,640",0,0,"18,188","2,640",Final,,,,
202201,203290019,"Meat; of swine n.e.c. in item no. 0203.2, frozen, other than meat bones and hocks",KGM,"24,411","3,882","479,940","94,868","504,351","98,750",Final,,,,
202201,204100038,"Meat; of sheep, lamb carcasses and half-carcasses, YM grade, fresh or chilled",KGM,"41,674","3,010",0,0,"41,674","3,010",Final,,,,
202201,204100042,"Meat; of sheep, lamb carcasses and half-carcasses, YX grade, fresh or chilled",KGM,"72,182","5,244",0,0,"72,182","5,244",Final,,,,
202201,204100048,"Meat; of sheep, lamb carcasses and half-carcasses n.e.c. in item no. 0204.10, fresh or chilled",KGM,"13,393","1,060",0,0,"13,393","1,060",Final,,,,
202201,204220001,"Meat; of sheep, lamb cuts with bone in, fresh or chilled (excluding carcasses and half-carcasses)",KGM,"38,434,771","2,007,757",0,0,"38,434,771","2,007,757",Final,,,,
202201,204220009,"Meat; of sheep (excluding lamb), cuts with bone in, fresh or chilled, (excluding carcasses and half-carcasses)",KGM,"20,038","1,136",0,0,"20,038","1,136",Final,,,,
202201,204230001,"Meat; of sheep, boneless cuts of lamb, fresh or chilled",KGM,"20,998,992","1,007,748",0,0,"20,998,992","1,007,748",Final,,,,
202201,204230009,"Meat; of sheep (excluding lamb), boneless cuts, fresh or chilled",KGM,"108,739","12,676",0,0,"108,739","12,676",Final,,,,
202201,204300002,"Meat; of sheep, lamb carcasses and half-carcasses, A grade, frozen",KGM,"180,053","16,175",0,0,"180,053","16,175",Final,,,,
202201,204300008,"Meat; of sheep, lamb carcasses and half-carcasses, Beta grade, frozen",KGM,"194,937","17,737",0,0,"194,937","17,737",Final,,,,
202201,204300012,"Meat; of sheep, lamb carcasses and half-carcasses, PH grade, frozen",KGM,"94,037","7,789",0,0,"94,037","7,789",Final,,,,
202201,204300022,"Meat; of sheep, lamb carcasses and half-carcasses, PM grade, frozen",KGM,"4,682",375,0,0,"4,682",375,Final,,,,
202201,204300028,"Meat; of sheep, lamb carcasses and half-carcasses, PX grade, frozen",KGM,"86,799","8,771",0,0,"86,799","8,771",Final,,,,
202201,204300032,"Meat; of sheep, lamb carcasses and half-carcasses, YL grade, frozen",KGM,"566,567","49,174",0,0,"566,567","49,174",Final,,,,
202201,204300038,"Meat; of sheep, lamb carcasses and half-carcasses, YM grade, frozen",KGM,"1,817,204","159,984",0,0,"1,817,204","159,984",Final,,,,
202201,204300042,"Meat; of sheep, lamb carcasses and half-carcasses, YX grade, frozen",KGM,"262,760","24,043",0,0,"262,760","24,043",Final,,,,
202201,204300048,"Meat; of sheep, lamb carcasses and half-carcasses n.e.c. in item no. 0204.30, frozen",KGM,"921,903","86,613",0,0,"921,903","86,613",Final,,,,
202201,204410022,"Meat; of sheep, mutton carcasses and half-carcasses, MF grade, frozen",KGM,"1,371,386","155,619",0,0,"1,371,386","155,619",Final,,,,
202201,204410028,"Meat; of sheep, mutton carcasses and half-carcasses, MH grade, frozen",KGM,"1,852,756","213,021",0,0,"1,852,756","213,021",Final,,,,
202201,204410032,"Meat; of sheep, mutton carcasses and half-carcasses, ML grade, frozen",KGM,"2,850,430","323,532",0,0,"2,850,430","323,532",Final,,,,
202201,204410038,"Meat; of sheep, mutton carcasses and half-carcasses, MM grade, frozen",KGM,"3,408,002","387,400",0,0,"3,408,002","387,400",Final,,,,
202201,204410042,"Meat; of sheep, mutton carcasses and half-carcasses, MX grade, frozen",KGM,"25,672,298","2,843,451",0,0,"25,672,298","2,843,451",Final,,,,
202201,204410048,"Meat; of sheep, mutton carcasses and half-carcasses n.e.c. in item no. 0204.41, frozen",KGM,"1,701,724","212,914",0,0,"1,701,724","212,914",Final,,,,
202201,204420001,"Meat; of sheep, lamb cuts with bone in, frozen (excluding carcasses and half-carcasses)",KGM,"169,298,069","14,459,915",0,0,"169,298,069","14,459,915",Final,,,,
202201,204420009,"Meat; of sheep (excluding lamb), cuts with bone in, frozen (excluding carcasses and half-carcasses)",KGM,"56,140,078","6,521,573",0,0,"56,140,078","6,521,573",Final,,,,
202201,204430001,"Meat; of sheep, boneless cuts of lamb, frozen",KGM,"27,690,097","1,846,794",0,0,"27,690,097","1,846,794",Final,,,,
202201,204430009,"Meat; of sheep (excluding lamb), boneless cuts, frozen",KGM,"6,377,047","443,351",0,0,"6,377,047","443,351",Final,,,,
202201,204500000,"Meat; of goats, fresh, chilled or frozen",KGM,"524,115","51,101",0,0,"524,115","51,101",Final,,,,
202201,206100029,"Offal, edible; of bovine animals, tongues, fresh or chilled",KGM,"116,673","4,386",0,0,"116,673","4,386",Final,,,,
