Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,,
201907,202300021,"Meat; of bovine animals, boneless cuts of veal (bobby), frozen",KGM,"1,063,581","154,621",0,0,"1,063,581","154,621",Final,,,,
201907,202300029,"Meat; of bovine animals, boneless cuts of veal (other than bobby), frozen",KGM,"3,338",335,0,0,"3,338",335,Final,,,,
201907,203120009,"Meat; of swine (other than wild pork), hams, shoulders and cuts thereof, with bone in, fresh or chilled",KGM,"1,961",201,0,0,"1,961",201,Final,,,,
201907,203190009,"Meat; of swine (other than wild pork), fresh or chilled, (excluding carcasses, half-carcasses, and hams, shoulders and cuts thereof, with bone in)",KGM,"9,684","1,642",0,0,"9,684","1,642",Final,,,,
201907,203220009,"Meat; of swine (other than wild pork), hams, shoulders and cuts thereof, with bone in, frozen",KGM,"115,606","28,481","8,563","1,627","124,169","30,108",Final,,,,
201907,203290019,"Meat; of swine n.e.c. in item no. 0203.2, frozen, other than meat bones and hocks",KGM,"53,484","8,301",0,0,"53,484","8,301",Final,,,,
201907,204100038,"Meat; of sheep, lamb carcasses and half-carcasses, YM grade, fresh or chilled",KGM,"135,707","12,496",0,0,"135,707","12,496",Final,,,,
201907,204100042,"Meat; of sheep, lamb carcasses and half-carcasses, YX grade, fresh or chilled",KGM,"96,652","8,436",0,0,"96,652","8,436",Final,,,,
201907,204100048,"Meat; of sheep, lamb carcasses and half-carcasses n.e.c. in item no. 0204.10, fresh or chilled",KGM,"14,977","1,006",0,0,"14,977","1,006",Final,,,,
201907,204220001,"Meat; of sheep, lamb cuts with bone in, fresh or chilled (excluding carcasses and half-carcasses)",KGM,"23,600,580","1,530,739",0,0,"23,600,580","1,530,739",Final,,,,
201907,204220009,"Meat; of sheep (excluding lamb), cuts with bone in, fresh or chilled, (excluding carcasses and half-carcasses)",KGM,"8,743",593,0,0,"8,743",593,Final,,,,
201907,204230001,"Meat; of sheep, boneless cuts of lamb, fresh or chilled",KGM,"18,173,291","1,085,517",0,0,"18,173,291","1,085,517",Final,,,,
