Month,Harmonised System Code,Harmonised System Description,Unit Qty,Country,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,
202205,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,Belgium,"11,265",414,0,0,"11,265",414,Final,,,
202205,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,Bahrain,"90,579","5,159",0,0,"90,579","5,159",Final,,,
202205,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,Canada,"133,213","7,286",0,0,"133,213","7,286",Final,,,
202205,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,"China, People's Republic of","33,682","1,660",0,0,"33,682","1,660",Final,,,
202205,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,Hong Kong (Special Administrative Region),"3,153",173,0,0,"3,153",173,Final,,,
202205,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,Italy,"8,331",439,0,0,"8,331",439,Final,,,
202205,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,Jordan,"12,177",468,0,0,"12,177",468,Final,,,
202205,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,Japan,"19,683",910,0,0,"19,683",910,Final,,,
202205,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,Kuwait,"26,317","1,745",0,0,"26,317","1,745",Final,,,
202205,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,Malaysia,"2,678",204,0,0,"2,678",204,Final,,,
202205,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,New Caledonia,"60,406","2,945",0,0,"60,406","2,945",Final,,,
202205,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,Oman,"64,410","3,329",0,0,"64,410","3,329",Final,,,
202205,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,French Polynesia,"190,511","9,491",0,0,"190,511","9,491",Final,,,
202205,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,Qatar,"6,663",533,0,0,"6,663",533,Final,,,
202205,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,Saudi Arabia,"68,453","3,694",0,0,"68,453","3,694",Final,,,
202205,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,Singapore,"22,752",924,0,0,"22,752",924,Final,,,
202205,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,United States of America,"129,331","6,035",0,0,"129,331","6,035",Final,,,
202205,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,Wallis and Futuna,"2,513",199,0,0,"2,513",199,Final,,,
202205,201200049,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,French Polynesia,"11,379",583,0,0,"11,379",583,Final,,,
202205,201200069,"Meat; of bovine animals, cuts with bone in n.e.c. in item no. 0201.20, fresh or chilled",KGM,French Polynesia,"4,104",385,0,0,"4,104",385,Final,,,
202205,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,United Arab Emirates,"3,153,366","187,326",0,0,"3,153,366","187,326",Final,,,
202205,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Australia,"1,284,759","79,144",0,0,"1,284,759","79,144",Final,,,
202205,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Belgium,"949,980","31,741",0,0,"949,980","31,741",Final,,,
202205,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Bahrain,"792,049","50,483",0,0,"792,049","50,483",Final,,,
202205,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Canada,"3,986,184","222,282",0,0,"3,986,184","222,282",Final,,,
202205,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Switzerland,"41,018","1,351",0,0,"41,018","1,351",Final,,,
202205,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,"China, People's Republic of","6,736,784","544,516",0,0,"6,736,784","544,516",Final,,,
202205,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Germany,"1,466,814","54,690",0,0,"1,466,814","54,690",Final,,,
202205,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Denmark,"626,047","31,468",0,0,"626,047","31,468",Final,,,
202205,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Fiji,"71,360","2,662",0,0,"71,360","2,662",Final,,,
202205,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,France,"87,051","4,890",0,0,"87,051","4,890",Final,,,
202205,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Hong Kong (Special Administrative Region),"1,104,516","47,467",0,0,"1,104,516","47,467",Final,,,
202205,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Italy,"7,695",504,0,0,"7,695",504,Final,,,
202205,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Jordan,"16,829",626,0,0,"16,829",626,Final,,,
202205,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Japan,"8,821,961","581,316",0,0,"8,821,961","581,316",Final,,,
202205,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Kiribati,"1,669",107,0,0,"1,669",107,Final,,,
202205,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,"Korea, Republic of","60,024","2,163",0,0,"60,024","2,163",Final,,,
202205,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Kuwait,"716,342","52,865",0,0,"716,342","52,865",Final,,,
202205,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Malaysia,"29,158","1,355",0,0,"29,158","1,355",Final,,,
202205,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,New Caledonia,"797,738","47,502",0,0,"797,738","47,502",Final,,,
202205,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Netherlands,"958,421","40,932",0,0,"958,421","40,932",Final,,,
202205,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Oman,"878,677","66,276",0,0,"878,677","66,276",Final,,,
202205,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,French Polynesia,"2,572,450","164,179","1,565",115,"2,574,015","164,293",Final,,,
202205,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Qatar,"483,312","34,991",0,0,"483,312","34,991",Final,,,
