Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,,
201903,202200001,"Meat; of bovine animals, beef quarters of steer and heifer, P1 grade, with bone in, frozen",KGM,"65,057","8,849",0,0,"65,057","8,849",Final,,,,
201903,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"16,139,055","2,578,725",0,0,"16,139,055","2,578,725",Final,,,,
201903,202200049,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"2,804,119","1,492,546",0,0,"2,804,119","1,492,546",Final,,,,
201903,202200051,"Meat; of bovine animals, beef cuts of bull, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"7,991,178","1,398,646",0,0,"7,991,178","1,398,646",Final,,,,
201903,202200069,"Meat; of bovine animals, cuts with bone in n.e.c. in item no. 0202.20, frozen",KGM,"512,827","176,328",0,0,"512,827","176,328",Final,,,,
201903,202300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, frozen",KGM,"182,608,013","25,819,653",0,0,"182,608,013","25,819,653",Final,,,,
201903,202300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, frozen",KGM,"4,252,107","635,289",0,0,"4,252,107","635,289",Final,,,,
201903,202300011,"Meat; of bovine animals, boneless cuts of bull, frozen",KGM,"101,445,803","13,380,353",0,0,"101,445,803","13,380,353",Final,,,,
201903,202300021,"Meat; of bovine animals, boneless cuts of veal (bobby), frozen",KGM,"329,948","58,731",0,0,"329,948","58,731",Final,,,,
201903,202300029,"Meat; of bovine animals, boneless cuts of veal (other than bobby), frozen",KGM,"28,418","15,393",0,0,"28,418","15,393",Final,,,,
201903,203110008,"Meat; of swine, carcasses and half-carcasses, (other than wild pork), fresh or chilled",KGM,"2,506",350,0,0,"2,506",350,Final,,,,
201903,203120009,"Meat; of swine (other than wild pork), hams, shoulders and cuts thereof, with bone in, fresh or chilled",KGM,"2,377",163,0,0,"2,377",163,Final,,,,
201903,203190009,"Meat; of swine (other than wild pork), fresh or chilled, (excluding carcasses, half-carcasses, and hams, shoulders and cuts thereof, with bone in)",KGM,104,10,0,0,104,10,Final,,,,
201903,203210008,"Meat; of swine, carcasses and half-carcasses, (other than wild pork), frozen",KGM,"3,059",152,0,0,"3,059",152,Final,,,,
201903,203220009,"Meat; of swine (other than wild pork), hams, shoulders and cuts thereof, with bone in, frozen",KGM,"12,448","2,129","2,895",554,"15,343","2,683",Final,,,,
201903,203290019,"Meat; of swine n.e.c. in item no. 0203.2, frozen, other than meat bones and hocks",KGM,"30,976","6,279","187,095","40,049","218,071","46,328",Final,,,,
201903,204100038,"Meat; of sheep, lamb carcasses and half-carcasses, YM grade, fresh or chilled",KGM,"176,037","17,961",0,0,"176,037","17,961",Final,,,,
201903,204100042,"Meat; of sheep, lamb carcasses and half-carcasses, YX grade, fresh or chilled",KGM,"200,606","18,188",0,0,"200,606","18,188",Final,,,,
201903,204100048,"Meat; of sheep, lamb carcasses and half-carcasses n.e.c. in item no. 0204.10, fresh or chilled",KGM,"4,088",383,0,0,"4,088",383,Final,,,,
201903,204210042,"Meat; of sheep, mutton carcasses and half-carcasses, MX grade, fresh or chilled",KGM,"289,109","38,128",0,0,"289,109","38,128",Final,,,,
201903,204220001,"Meat; of sheep, lamb cuts with bone in, fresh or chilled (excluding carcasses and half-carcasses)",KGM,"65,855,420","5,020,195",0,0,"65,855,420","5,020,195",Final,,,,
201903,204220009,"Meat; of sheep (excluding lamb), cuts with bone in, fresh or chilled, (excluding carcasses and half-carcasses)",KGM,"52,907","5,305",0,0,"52,907","5,305",Final,,,,
201903,204230001,"Meat; of sheep, boneless cuts of lamb, fresh or chilled",KGM,"28,702,628","1,813,641",0,0,"28,702,628","1,813,641",Final,,,,
201903,204230009,"Meat; of sheep (excluding lamb), boneless cuts, fresh or chilled",KGM,"76,451","4,019",0,0,"76,451","4,019",Final,,,,
201903,204300012,"Meat; of sheep, lamb carcasses and half-carcasses, PH grade, frozen",KGM,"270,467","33,978",0,0,"270,467","33,978",Final,,,,
201903,204300022,"Meat; of sheep, lamb carcasses and half-carcasses, PM grade, frozen",KGM,"134,347","15,994",0,0,"134,347","15,994",Final,,,,
201903,204300028,"Meat; of sheep, lamb carcasses and half-carcasses, PX grade, frozen",KGM,"642,491","84,517",0,0,"642,491","84,517",Final,,,,
201903,204300032,"Meat; of sheep, lamb carcasses and half-carcasses, YL grade, frozen",KGM,"242,631","27,967",0,0,"242,631","27,967",Final,,,,
