Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,,
201906,202300029,"Meat; of bovine animals, boneless cuts of veal (other than bobby), frozen",KGM,"7,597","4,453",0,0,"7,597","4,453",Final,,,,
201906,203110008,"Meat; of swine, carcasses and half-carcasses, (other than wild pork), fresh or chilled",KGM,"2,740",380,0,0,"2,740",380,Final,,,,
201906,203120009,"Meat; of swine (other than wild pork), hams, shoulders and cuts thereof, with bone in, fresh or chilled",KGM,444,29,0,0,444,29,Final,,,,
201906,203190009,"Meat; of swine (other than wild pork), fresh or chilled, (excluding carcasses, half-carcasses, and hams, shoulders and cuts thereof, with bone in)",KGM,"1,003",115,0,0,"1,003",115,Final,,,,
201906,203220001,"Meat; of swine, wild pork, hams, shoulders and cuts thereof, with bone in, frozen",KGM,"1,699",243,0,0,"1,699",243,Final,,,,
201906,203220009,"Meat; of swine (other than wild pork), hams, shoulders and cuts thereof, with bone in, frozen",KGM,"302,591","76,510","2,475",19,"305,066","76,529",Final,,,,
201906,203290019,"Meat; of swine n.e.c. in item no. 0203.2, frozen, other than meat bones and hocks",KGM,"120,619","24,076",0,0,"120,619","24,076",Final,,,,
201906,204100038,"Meat; of sheep, lamb carcasses and half-carcasses, YM grade, fresh or chilled",KGM,"128,075","12,500",0,0,"128,075","12,500",Final,,,,
201906,204100042,"Meat; of sheep, lamb carcasses and half-carcasses, YX grade, fresh or chilled",KGM,"136,618","11,774",0,0,"136,618","11,774",Final,,,,
201906,204100048,"Meat; of sheep, lamb carcasses and half-carcasses n.e.c. in item no. 0204.10, fresh or chilled",KGM,"13,345","1,013",0,0,"13,345","1,013",Final,,,,
201906,204210038,"Meat; of sheep, mutton carcasses and half-carcasses, MM grade, fresh or chilled",KGM,"73,276","9,483",0,0,"73,276","9,483",Final,,,,
201906,204210042,"Meat; of sheep, mutton carcasses and half-carcasses, MX grade, fresh or chilled",KGM,"16,554","1,807",0,0,"16,554","1,807",Final,,,,
201906,204220001,"Meat; of sheep, lamb cuts with bone in, fresh or chilled (excluding carcasses and half-carcasses)",KGM,"27,175,642","1,786,400",0,0,"27,175,642","1,786,400",Final,,,,
201906,204230001,"Meat; of sheep, boneless cuts of lamb, fresh or chilled",KGM,"18,825,065","1,111,985",0,0,"18,825,065","1,111,985",Final,,,,
201906,204230009,"Meat; of sheep (excluding lamb), boneless cuts, fresh or chilled",KGM,"56,907","3,090",0,0,"56,907","3,090",Final,,,,
201906,204300002,"Meat; of sheep, lamb carcasses and half-carcasses, A grade, frozen",KGM,"1,388",155,0,0,"1,388",155,Final,,,,
201906,204300022,"Meat; of sheep, lamb carcasses and half-carcasses, PM grade, frozen",KGM,"3,287",168,0,0,"3,287",168,Final,,,,
201906,204300028,"Meat; of sheep, lamb carcasses and half-carcasses, PX grade, frozen",KGM,"39,994","4,787",0,0,"39,994","4,787",Final,,,,
201906,204300032,"Meat; of sheep, lamb carcasses and half-carcasses, YL grade, frozen",KGM,"277,876","31,518",0,0,"277,876","31,518",Final,,,,
201906,204300038,"Meat; of sheep, lamb carcasses and half-carcasses, YM grade, frozen",KGM,"3,461,965","395,872",0,0,"3,461,965","395,872",Final,,,,
201906,204300042,"Meat; of sheep, lamb carcasses and half-carcasses, YX grade, frozen",KGM,"12,011","1,438",0,0,"12,011","1,438",Final,,,,
201906,204300048,"Meat; of sheep, lamb carcasses and half-carcasses n.e.c. in item no. 0204.30, frozen",KGM,"104,493","11,054",0,0,"104,493","11,054",Final,,,,
201906,204410022,"Meat; of sheep, mutton carcasses and half-carcasses, MF grade, frozen",KGM,"243,658","45,386",0,0,"243,658","45,386",Final,,,,
201906,204410028,"Meat; of sheep, mutton carcasses and half-carcasses, MH grade, frozen",KGM,"536,575","86,323",0,0,"536,575","86,323",Final,,,,
201906,204410032,"Meat; of sheep, mutton carcasses and half-carcasses, ML grade, frozen",KGM,"782,603","115,283",0,0,"782,603","115,283",Final,,,,
201906,204410038,"Meat; of sheep, mutton carcasses and half-carcasses, MM grade, frozen",KGM,"88,418","15,165",0,0,"88,418","15,165",Final,,,,
201906,204410042,"Meat; of sheep, mutton carcasses and half-carcasses, MX grade, frozen",KGM,"5,676,280","800,119",0,0,"5,676,280","800,119",Final,,,,
201906,204410048,"Meat; of sheep, mutton carcasses and half-carcasses n.e.c. in item no. 0204.41, frozen",KGM,"11,538","1,748",0,0,"11,538","1,748",Final,,,,
201906,204420001,"Meat; of sheep, lamb cuts with bone in, frozen (excluding carcasses and half-carcasses)",KGM,"151,962,081","15,816,131",0,0,"151,962,081","15,816,131",Final,,,,
201906,204420009,"Meat; of sheep (excluding lamb), cuts with bone in, frozen (excluding carcasses and half-carcasses)",KGM,"12,957,056","1,954,965",0,0,"12,957,056","1,954,965",Final,,,,
201906,204430001,"Meat; of sheep, boneless cuts of lamb, frozen",KGM,"26,011,620","2,399,878",0,0,"26,011,620","2,399,878",Final,,,,
201906,204430009,"Meat; of sheep (excluding lamb), boneless cuts, frozen",KGM,"4,247,681","443,775",0,0,"4,247,681","443,775",Final,,,,
201906,204500000,"Meat; of goats, fresh, chilled or frozen",KGM,"2,035,256","305,122",0,0,"2,035,256","305,122",Final,,,,
201906,206100029,"Offal, edible; of bovine animals, tongues, fresh or chilled",KGM,"325,246","20,377",0,0,"325,246","20,377",Final,,,,
201906,206100039,"Offal, edible; of bovine animals, n.e.c. in item no. 0206.10, fresh or chilled",KGM,"573,713","52,386",0,0,"573,713","52,386",Final,,,,
201906,206210000,"Offal, edible; of bovine animals, tongues, frozen",KGM,"5,148,708","699,495",0,0,"5,148,708","699,495",Final,,,,
201906,206220000,"Offal, edible; of bovine animals, livers, frozen",KGM,"1,316,361","973,956","24,019","17,016","1,340,380","990,972",Final,,,,
201906,206290009,"Offal, edible; of bovine animals, hearts, frozen",KGM,"1,000,382","371,960",0,0,"1,000,382","371,960",Final,,,,
201906,206290011,"Offal, edible; of bovine animals, kidneys, frozen",KGM,"260,405","94,077",0,0,"260,405","94,077",Final,,,,
201906,206290019,"Offal, edible; of bovine animals, sweetbreads, frozen",KGM,"3,120",952,0,0,"3,120",952,Final,,,,
201906,206290029,"Offal, edible; of bovine animals, n.e.c. in item no. 0206.2, frozen",KGM,"13,692,677","2,238,653",0,0,"13,692,677","2,238,653",Final,,,,
201906,206900009,"Offal, edible; of lamb, hearts, frozen",KGM,"464,596","143,904",0,0,"464,596","143,904",Final,,,,
201906,206900011,"Offal, edible; of lamb, kidneys, frozen",KGM,"951,882","115,734",0,0,"951,882","115,734",Final,,,,
201906,206900019,"Offal, edible; of lamb, livers, frozen",KGM,"877,738","553,273",0,0,"877,738","553,273",Final,,,,
201906,206900021,"Offal, edible; of lamb, sweetbreads, frozen",KGM,"56,146","7,083",0,0,"56,146","7,083",Final,,,,
201906,206900029,"Offal, edible; of lamb, tongues, frozen",KGM,"206,606","33,401",0,0,"206,606","33,401",Final,,,,
201906,206900039,"Offal, edible; of lamb, n.e.c. in item no. 0206.90, frozen",KGM,"1,814,911","263,587",0,0,"1,814,911","263,587",Final,,,,
201906,206900049,"Offal, edible; of sheep (excluding lamb), hearts, frozen",KGM,"30,330","9,469",0,0,"30,330","9,469",Final,,,,
201906,206900059,"Offal, edible; of sheep (excluding lamb), livers, frozen",KGM,"304,897","161,204",0,0,"304,897","161,204",Final,,,,
201906,206900069,"Offal, edible; of sheep (excluding lamb), tongues, frozen",KGM,"64,823","15,527",0,0,"64,823","15,527",Final,,,,
201906,206900079,"Offal, edible; of sheep (excluding lamb), n.e.c. in item no. 0206.90, frozen",KGM,"456,663","95,334",0,0,"456,663","95,334",Final,,,,
201906,206900099,"Offal, edible; of goats, horses, asses, mules or hinnies, n.e.c. in item no. 0206.90, frozen",KGM,996,187,0,0,996,187,Final,,,,
201906,207110000,"Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, fresh or chilled",KGM,"6,950","1,153",0,0,"6,950","1,153",Final,,,,
201906,207120000,"Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, frozen",KGM,"469,986","158,757",0,0,"469,986","158,757",Final,,,,
201906,207130000,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, fresh or chilled",KGM,"273,122","30,213",0,0,"273,122","30,213",Final,,,,
201906,207149000,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen, excluding livers",KGM,"3,385,955","1,221,614",0,0,"3,385,955","1,221,614",Final,,,,
201906,207279000,"Meat and edible offal; of turkeys, cuts and offal, frozen, excluding livers",KGM,"24,975","9,353",0,0,"24,975","9,353",Final,,,,
201906,207420010,"Meat and edible offal; of ducks, not cut in pieces, frozen",KGM,"15,614","2,071",0,0,"15,614","2,071",Final,,,,
201906,207459000,"Meat and edible offal; of ducks, cuts and offal, excluding fatty livers, frozen, excluding livers",KGM,"7,141",278,0,0,"7,141",278,Final,,,,
201906,208900011,"Meat and edible meat offal; of deer, fresh, chilled or frozen, pizzles",KGM,"150,564","1,785",0,0,"150,564","1,785",Final,,,,
201906,208900013,"Meat and edible meat offal; of deer, fresh, chilled or frozen, tails",KGM,"296,648","1,235",0,0,"296,648","1,235",Final,,,,
201906,208900015,"Meat and edible meat offal; of deer, fresh, chilled or frozen, offal (excluding pizzles or tails)",KGM,"225,352","31,817",0,0,"225,352","31,817",Final,,,,
201906,208900017,"Edible meat; other than offal, of deer, venison, chilled",KGM,"1,474,208","51,971",0,0,"1,474,208","51,971",Final,,,,
201906,208900018,"Edible meat; other than offal, of deer, venison, frozen",KGM,"8,095,520","612,619",0,0,"8,095,520","612,619",Final,,,,
201906,210120000,"Meat; of swine, bellies (streaky) and cuts thereof, salted, in brine, dried or smoked",KGM,"1,149",140,0,0,"1,149",140,Final,,,,
201906,210190001,"Meat; of swine, bacon, salted, in brine, dried or smoked",KGM,"121,221","13,821",0,0,"121,221","13,821",Final,,,,
201906,210190019,"Meat; of swine, n.e.c. in heading 0210, smoked",KGM,479,11,0,0,479,11,Final,,,,
201906,210190029,"Meat; of swine, n.e.c. in heading 0210, dried",KGM,"6,217","1,161",0,0,"6,217","1,161",Final,,,,
201906,210200000,"Meat; of bovine animals, salted, in brine, dried or smoked",KGM,"86,294","2,147",0,0,"86,294","2,147",Final,,,,
201906,210993049,"Meat and edible meat offal; salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal, n.e.c. in heading 0210",KGM,"1,035,503","3,345",0,0,"1,035,503","3,345",Final,,,,
201906,301920000,"Fish; live, eels (anguilla spp.)",KGM,"76,110","4,545",0,0,"76,110","4,545",Final,,,,
201906,302130010,"Fish; fresh or chilled, Pacific salmon (Oncorhynchus nerka/gorbuscha/keta/tschawytscha/kisutch/masou/rhodurus), whole",KGM,"5,585,372","266,812",0,0,"5,585,372","266,812",Final,,,,
201906,302130015,"Fish; fresh or chilled, Pacific salmon (Oncorhynchus nerka/gorbuscha/keta/tschawytscha/kisutch/masou/rhodurus), headed and gutted",KGM,"539,352","22,637",0,0,"539,352","22,637",Final,,,,
201906,302130029,"Fish; fresh or chilled, Pacific salmon (Oncorhynchus nerka/gorbuscha/keta/tschawytscha/kisutch/masou/rhodurus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"257,830","12,043",0,0,"257,830","12,043",Final,,,,
201906,302230001,"Fish; fresh or chilled, sole (Solea spp.), whole",KGM,258,38,0,0,258,38,Final,,,,
201906,302240010,"Fish; fresh or chilled, turbots (Psetta maxima, Scophthalmidae), whole",KGM,"12,917","1,531",0,0,"12,917","1,531",Final,,,,
201906,302240029,"Fish; fresh or chilled, turbots (Psetta maxima, Scophthalmidae), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"4,227",590,0,0,"4,227",590,Final,,,,
201906,302290002,"Fish; fresh or chilled, flounder, whole",KGM,"200,600","19,453",0,0,"200,600","19,453",Final,,,,
201906,302290012,"Fish; fresh or chilled, lemon sole, whole",KGM,"1,258",133,0,0,"1,258",133,Final,,,,
201906,302290028,"Fish; fresh or chilled, flat fish n.e.c. in heading 0302, whole",KGM,"9,496","1,097",0,0,"9,496","1,097",Final,,,,
