Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status
202511,2104100945,"Soups and broths and preparations therefor; (other than fish, crustacean and mollusc), of vegetable",KGM,"2,023,101","704,284",978,71,"2,024,079","704,354",Provisional
202511,2104100949,"Soups and broths and preparations therefor; (other than fish, crustacean and mollusc), other than meat or vegetable",,"3,898",,"7,126",,"11,024",,Provisional
202511,2104200000,Homogenised composite food preparations,,"1,519,793",,"3,095",,"1,522,888",,Provisional
202511,2105001000,Ice cream and other edible ice; containing cocoa,KGM,"2,056,345","283,019","66,273","7,318","2,122,618","290,338",Provisional
202511,2105001100,"Ice cream and other edible ice; containing not more than 1.15% alcohol, by volume",LTR,"2,198",300,0,0,"2,198",300,Provisional
202511,2105005900,Ice cream and other edible ice; not containing alcohol or cocoa,KGM,"6,294,434","998,526","6,260",535,"6,300,694","999,061",Provisional
202511,2106100100,Protein; textured vegetable,,"15,296",,664,,"15,960",,Provisional
202511,2106100900,"Protein; concentrates and textured protein substances, excluding textured vegetable protein",,"335,574",,337,,"335,911",,Provisional
202511,2106901010,Food preparations; tablets consisting of saccharin and a foodstuff used for sweetening purposes,KGM,"26,728",375,133,3,"26,861",378,Provisional
202511,2106902000,"Food preparations; compound alcoholic, (not based on odoriferous substances), used for the manufacture of beverages, containing not more than 1.15% vol.",LTR,"6,282",216,0,0,"6,282",216,Provisional
202511,2106909901,"Food preparations; food stuffs and chemicals, mixtures, used in the preparation of human foodstuffs",,"31,179,526",,"11,779",,"31,191,305",,Provisional
202511,2106909909,Food preparations n.e.c.; coconut cream,KGM,"42,235","6,279","21,584","5,390","63,819","11,669",Provisional
202511,2106909919,Food preparations n.e.c.; sweet fat; preparations of edible fats (including butterfat) and sugar,KGM,"456,651","53,734",0,0,"456,651","53,734",Provisional
202511,2106909921,Food preparations n.e.c.; crystals or powders for preparing beverages,KGM,"750,220","23,001","529,134","8,582","1,279,354","31,583",Provisional
202511,2106909929,Food preparations n.e.c.; jelly crystals or powders,KGM,"4,827",820,"5,175",140,"10,002",960,Provisional
202511,2106909948,"Food preparations; n.e.c. in item no. 2106.90, in aerosol containers, not containing chlorofluorocarbons",NMB,"35,500","3,812",0,0,"35,500","3,812",Provisional
202511,2106909961,"Food preparations; n.e.c. in item no. 2106.90, (not in aerosol containers), containing deer products, in tablet form",KGM,"86,254","3,011",0,0,"86,254","3,011",Provisional
202511,2106909969,"Food preparations; n.e.c. in item no. 2106.90, (not in aerosol containers), containing deer products, other than in tablet form",KGM,"635,614","3,283",0,0,"635,614","3,283",Provisional
202511,2106909980,"Food preparations; n.e.c. in item no. 2106.90, (not in aerosol containers), not containing deer products",KGM,"87,242,826","2,839,289","4,860,499","57,599","92,103,325","2,896,888",Provisional
202511,2201100100,"Waters; mineral and aerated, including natural or artificial, (not containing added sugar or other sweetening matter nor flavoured), in metal containers",LTR,"22,041","4,287",0,0,"22,041","4,287",Provisional
202511,2201100900,"Waters; mineral and aerated, including natural or artificial, (not containing added sugar or other sweetening matter nor flavoured), other than in metal containers",LTR,"1,666,628","1,493,840","1,008",481,"1,667,636","1,494,321",Provisional
202511,2201900900,"Waters; other than mineral and aerated, (not containing added sugar or other sweetening matter nor flavoured), ice and snow, other than in metal containers",LTR,"175,882","129,961","2,097",448,"177,979","130,409",Provisional
202511,2202100100,"Waters; including mineral and aerated, containing added sugar or other sweetening matter or flavoured, in metal containers",LTR,"11,124,513","3,035,019","665,428","144,919","11,789,941","3,179,938",Provisional
202511,2202100900,"Waters; including mineral and aerated, containing added sugar or other sweetening matter or flavoured, other than in metal containers",LTR,"4,156,704","3,371,043","9,347","1,322","4,166,051","3,372,365",Provisional
202511,2202911019,"Non-alcoholic beverages; non-alcoholic beer, in metal containers, not containing deer products",LTR,"14,210","2,475",0,0,"14,210","2,475",Provisional
202511,2202919019,"Non-alcoholic beverages; non-alcoholic beer, other than in metal containers, not containing deer products",LTR,"6,646",635,870,146,"7,516",781,Provisional
202511,2202991019,"Non-alcoholic beverages; other than non-alcoholic beer, n.e.c. in item no. 2202.10, (not including fruit, nut or vegetable juices of heading no. 2009), in metal containers, not containing deer products",LTR,"924,228","292,334","18,144","2,424","942,372","294,758",Provisional
202511,2202999020,"Non-alcoholic beverages; other than non-alcoholic beer, n.e.c. in item no. 2202.10, (not including fruit, nut or vegetable juices of heading no. 2009), other than in metal containers, not containing deer products",LTR,"7,666,031","2,021,120","24,179","8,839","7,690,210","2,029,959",Provisional
202511,2203000201,"Beer; made from malt, containing not more than 1.15% vol., in cans",LTR,"28,106","6,098",0,0,"28,106","6,098",Provisional
202511,2203000209,"Beer; made from malt, containing not more than 1.15% vol., not in cans",LTR,"5,523","1,703",0,0,"5,523","1,703",Provisional
202511,2203001209,"Beer; made from malt, containing more than 1.15% vol. but not more than 2.5% vol., not in cans",LTR,76,32,0,0,76,32,Provisional
202511,2203002202,"Beer; made from malt, containing more than 2.5% vol., but not more than 4.35% vol., in cans",LPA,"69,758","1,004","1,438",19,"71,196","1,023",Provisional
202511,2203002208,"Beer; made from malt, containing more than 2.5% vol., but not more than 4.35% vol., not in cans",LPA,"371,408","11,228",0,0,"371,408","11,228",Provisional
202511,2203003102,"Beer; made from malt, containing more than 4.35% vol., but not more than 5% vol., in cans",LPA,"190,035","3,185","8,236",103,"198,271","3,289",Provisional
202511,2203003108,"Beer; made from malt, containing more than 4.35% vol., but not more than 5% vol., not in cans",LPA,"746,709","17,123","14,267",207,"760,976","17,329",Provisional
202511,2203003902,"Beer; made from malt, containing more than 5% vol., in cans",LPA,"120,589","1,612","8,795",154,"129,384","1,766",Provisional
202511,2203003908,"Beer; made from malt, containing more than 5% vol., not in cans",LPA,"81,273","1,439",0,0,"81,273","1,439",Provisional
202511,2204100100,"Wine; sparkling, champagne",LTR,0,0,"167,171","2,925","167,171","2,925",Provisional
202511,2204101801,"Wine; sparkling, (other than for manufacture in a licensed manufacturing area), red",LTR,"75,008","5,255","7,818",864,"82,826","6,119",Provisional
202511,2204101809,"Wine; sparkling, (other than for manufacture in a licensed manufacturing area), white",LTR,"675,513","51,419","48,817","1,580","724,330","52,999",Provisional
202511,2204210201,"Wine; still, for further manufacture in a licensed manufacturing area, containing not more than 14% vol., white, in containers of a capacity not exceeding 750ml",LTR,"243,029","30,681","2,221",158,"245,250","30,839",Provisional
202511,2204210209,"Wine; still, for further manufacture in a licensed manufacturing area, containing not more than 14% vol., white, in containers of a capacity exceeding 750ml but not exceeding 2 litres",LTR,"59,520","24,000",0,0,"59,520","24,000",Provisional
202511,2204210211,"Wine; still, for further manufacture in a licensed manufacturing area, containing not more than 14% vol., red, in containers of a capacity not exceeding 750ml",LTR,"61,868","6,809","1,262",158,"63,130","6,966",Provisional
202511,2204211311,"Wine; still, containing more than 14% vol., fortified by addition of spirits or any substance containing spirit, port, in containers of a capacity not exceeding 750ml, not for further manufacture in a licensed manufacturing area",LPA,0,0,"1,223",9,"1,223",9,Provisional
202511,2204211801,"Wine; still, (not containing more than 14% vol.), white, in containers of a capacity not exceeding 750ml, not for further manufacture in a licensed manufacturing area",LTR,"117,220,142","11,292,077","63,040","4,607","117,283,182","11,296,685",Provisional
202511,2204211809,"Wine; still, (not containing more than 14% vol.), white, in containers of a capacity exceeding 750ml but not exceeding 2 litres, not for further manufacture in a licensed manufacturing area",LTR,"20,027","1,845",0,0,"20,027","1,845",Provisional
202511,2204211811,"Wine; still, (not containing more than 14% vol.), red, in containers of a capacity not exceeding 750ml, not for further manufacture in a licensed manufacturing area",LTR,"9,295,827","561,010","616,213","40,491","9,912,040","601,502",Provisional
202511,2204211819,"Wine; still, (not containing more than 14% vol.), red, in containers of a capacity exceeding 750ml but not exceeding 2 litres, not for further manufacture in a licensed manufacturing area",LTR,"12,597",167,"8,850","1,350","21,447","1,517",Provisional
202511,2204229010,"Wine; still, in containers holding more than 2 litres but not more than 10 litres, containing not more than 14% vol., white, not for further manufacture in a licensed manufacturing area",LTR,"27,052","2,660",756,288,"27,808","2,948",Provisional
202511,2204229019,"Wine; still, in containers holding more than 2 litres but not more than 10 litres, containing not more than 14% vol., red, not for further manufacture in a licensed manufacturing area",LTR,"3,000",300,"1,283",420,"4,283",720,Provisional
202511,2204291010,"Wine; still, in containers holding over 10 litres, for further manufacture in a licensed manufacturing area, containing not more than 14% vol., white",LTR,"2,367,364","709,730",0,0,"2,367,364","709,730",Provisional
202511,2204291030,"Wine; still, in containers holding over 10 litres, for further manufacture in a licensed manufacturing area, containing not more than 14% vol., red",LTR,"114,336","24,126",0,0,"114,336","24,126",Provisional
202511,2204291039,"Wine; still, in containers holding over 10 litres, for further manufacture in a licensed manufacturing area, containing not more than 14% vol., (not sherry or port)",LTR,"7,749,696","2,178,716",0,0,"7,749,696","2,178,716",Provisional
202511,2204299010,"Wine; still, in containers holding over 10 litres, containing not more than 14% vol., white, not for further manufacture in a licensed manufacturing area",LTR,"40,543,816","11,365,187",0,0,"40,543,816","11,365,187",Provisional
202511,2204299019,"Wine; still, in containers holding over 10 litres, containing not more than 14% vol., red, not for further manufacture in a licensed manufacturing area",LTR,"1,965,627","340,505",0,0,"1,965,627","340,505",Provisional
202511,2204300000,"Grape must; n.e.c. in heading no. 2009, n.e.c. in item no. 2204.2",LTR,"2,383",234,0,0,"2,383",234,Provisional
202511,2206000819,"Beverages, fermented; fruit or vegetable wine, containing not more than 14% vol., not for further manufacture, other than kiwifruit wine",LTR,"130,947","8,359","1,337",122,"132,284","8,481",Provisional
202511,2206003201,"Beverages, fermented; (other than fruit or vegetable wine), containing not more than 1.15% vol., sparkling",LTR,"3,586",720,0,0,"3,586",720,Provisional
202511,2206003709,"Beverages, fermented; (other than fruit or vegetable wine), containing more than 1.15% vol., but not more than 2.5% vol., not for further manufacture, other than sparkling",LTR,"3,078",110,0,0,"3,078",110,Provisional
202511,2206004301,"Beverages, fermented; (other than fruit or vegetable wine), containing more than 2.5% vol., but not more than 6% vol., for further manufacture, sparkling",LPA,"1,344",98,0,0,"1,344",98,Provisional
