Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,,
201902,202200069,"Meat; of bovine animals, cuts with bone in n.e.c. in item no. 0202.20, frozen",KGM,"156,177","70,085",0,0,"156,177","70,085",Final,,,,
201902,202300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, frozen",KGM,"106,978,485","15,246,175",0,0,"106,978,485","15,246,175",Final,,,,
201902,202300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, frozen",KGM,"2,380,523","329,465",0,0,"2,380,523","329,465",Final,,,,
201902,202300011,"Meat; of bovine animals, boneless cuts of bull, frozen",KGM,"136,108,643","18,597,278",0,0,"136,108,643","18,597,278",Final,,,,
201902,202300021,"Meat; of bovine animals, boneless cuts of veal (bobby), frozen",KGM,"1,245,649","158,626",0,0,"1,245,649","158,626",Final,,,,
201902,202300029,"Meat; of bovine animals, boneless cuts of veal (other than bobby), frozen",KGM,"11,277","2,526",0,0,"11,277","2,526",Final,,,,
201902,203120009,"Meat; of swine (other than wild pork), hams, shoulders and cuts thereof, with bone in, fresh or chilled",KGM,"1,718",100,0,0,"1,718",100,Final,,,,
201902,203190009,"Meat; of swine (other than wild pork), fresh or chilled, (excluding carcasses, half-carcasses, and hams, shoulders and cuts thereof, with bone in)",KGM,137,13,0,0,137,13,Final,,,,
201902,203220009,"Meat; of swine (other than wild pork), hams, shoulders and cuts thereof, with bone in, frozen",KGM,"16,699","2,291","113,001","23,940","129,700","26,231",Final,,,,
201902,203290011,"Meat; of swine n.e.c. in item no. 0203.2, frozen, meat bones and hocks",KGM,"1,390",200,0,0,"1,390",200,Final,,,,
201902,203290019,"Meat; of swine n.e.c. in item no. 0203.2, frozen, other than meat bones and hocks",KGM,"28,935","6,479",0,0,"28,935","6,479",Final,,,,
201902,204100032,"Meat; of sheep, lamb carcasses and half-carcasses, YL grade, fresh or chilled",KGM,289,18,0,0,289,18,Final,,,,
201902,204100038,"Meat; of sheep, lamb carcasses and half-carcasses, YM grade, fresh or chilled",KGM,"180,333","17,249",0,0,"180,333","17,249",Final,,,,
201902,204100042,"Meat; of sheep, lamb carcasses and half-carcasses, YX grade, fresh or chilled",KGM,"133,475","11,893",0,0,"133,475","11,893",Final,,,,
201902,204100048,"Meat; of sheep, lamb carcasses and half-carcasses n.e.c. in item no. 0204.10, fresh or chilled",KGM,"14,631","1,171",0,0,"14,631","1,171",Final,,,,
201902,204210042,"Meat; of sheep, mutton carcasses and half-carcasses, MX grade, fresh or chilled",KGM,"91,737","12,454",0,0,"91,737","12,454",Final,,,,
201902,204220001,"Meat; of sheep, lamb cuts with bone in, fresh or chilled (excluding carcasses and half-carcasses)",KGM,"102,097,960","8,348,962",0,0,"102,097,960","8,348,962",Final,,,,
201902,204220009,"Meat; of sheep (excluding lamb), cuts with bone in, fresh or chilled, (excluding carcasses and half-carcasses)",KGM,"13,174",895,0,0,"13,174",895,Final,,,,
201902,204230001,"Meat; of sheep, boneless cuts of lamb, fresh or chilled",KGM,"30,925,881","1,859,430",0,0,"30,925,881","1,859,430",Final,,,,
201902,204230009,"Meat; of sheep (excluding lamb), boneless cuts, fresh or chilled",KGM,"55,404","2,438",0,0,"55,404","2,438",Final,,,,
201902,204300012,"Meat; of sheep, lamb carcasses and half-carcasses, PH grade, frozen",KGM,"524,409","77,174",0,0,"524,409","77,174",Final,,,,
201902,204300022,"Meat; of sheep, lamb carcasses and half-carcasses, PM grade, frozen",KGM,"189,318","23,129",0,0,"189,318","23,129",Final,,,,
201902,204300028,"Meat; of sheep, lamb carcasses and half-carcasses, PX grade, frozen",KGM,"1,434,730","190,362",0,0,"1,434,730","190,362",Final,,,,
201902,204300032,"Meat; of sheep, lamb carcasses and half-carcasses, YL grade, frozen",KGM,"566,292","64,099",0,0,"566,292","64,099",Final,,,,
201902,204300038,"Meat; of sheep, lamb carcasses and half-carcasses, YM grade, frozen",KGM,"4,171,302","497,652",0,0,"4,171,302","497,652",Final,,,,
201902,204300042,"Meat; of sheep, lamb carcasses and half-carcasses, YX grade, frozen",KGM,"278,103","33,421",0,0,"278,103","33,421",Final,,,,
201902,204300048,"Meat; of sheep, lamb carcasses and half-carcasses n.e.c. in item no. 0204.30, frozen",KGM,"70,321","8,031",0,0,"70,321","8,031",Final,,,,
201902,204410002,"Meat; of sheep, hogget carcasses and half-carcasses, HL grade, frozen",KGM,485,71,0,0,485,71,Final,,,,
201902,204410022,"Meat; of sheep, mutton carcasses and half-carcasses, MF grade, frozen",KGM,"1,303,043","270,697",0,0,"1,303,043","270,697",Final,,,,
201902,204410028,"Meat; of sheep, mutton carcasses and half-carcasses, MH grade, frozen",KGM,"1,625,845","322,329",0,0,"1,625,845","322,329",Final,,,,
201902,204410032,"Meat; of sheep, mutton carcasses and half-carcasses, ML grade, frozen",KGM,"6,283,034","1,063,480",0,0,"6,283,034","1,063,480",Final,,,,
201902,204410038,"Meat; of sheep, mutton carcasses and half-carcasses, MM grade, frozen",KGM,"611,721","99,140",0,0,"611,721","99,140",Final,,,,
201902,204410042,"Meat; of sheep, mutton carcasses and half-carcasses, MX grade, frozen",KGM,"22,956,662","3,451,283",0,0,"22,956,662","3,451,283",Final,,,,
201902,204410048,"Meat; of sheep, mutton carcasses and half-carcasses n.e.c. in item no. 0204.41, frozen",KGM,"636,109","104,382",0,0,"636,109","104,382",Final,,,,
201902,204420001,"Meat; of sheep, lamb cuts with bone in, frozen (excluding carcasses and half-carcasses)",KGM,"205,505,592","23,031,880",0,0,"205,505,592","23,031,880",Final,,,,
201902,204420009,"Meat; of sheep (excluding lamb), cuts with bone in, frozen (excluding carcasses and half-carcasses)",KGM,"42,515,061","6,896,447",0,0,"42,515,061","6,896,447",Final,,,,
201902,204430001,"Meat; of sheep, boneless cuts of lamb, frozen",KGM,"42,699,612","3,461,950",0,0,"42,699,612","3,461,950",Final,,,,
201902,204430009,"Meat; of sheep (excluding lamb), boneless cuts, frozen",KGM,"13,393,329","1,408,755",0,0,"13,393,329","1,408,755",Final,,,,
201902,204500000,"Meat; of goats, fresh, chilled or frozen",KGM,"481,609","52,890",0,0,"481,609","52,890",Final,,,,
201902,206100029,"Offal, edible; of bovine animals, tongues, fresh or chilled",KGM,"204,665","14,972",0,0,"204,665","14,972",Final,,,,
201902,206100039,"Offal, edible; of bovine animals, n.e.c. in item no. 0206.10, fresh or chilled",KGM,"498,733","47,673",0,0,"498,733","47,673",Final,,,,
201902,206210000,"Offal, edible; of bovine animals, tongues, frozen",KGM,"3,156,396","653,873",0,0,"3,156,396","653,873",Final,,,,
201902,206220000,"Offal, edible; of bovine animals, livers, frozen",KGM,"1,121,195","1,025,949",0,0,"1,121,195","1,025,949",Final,,,,
201902,206290009,"Offal, edible; of bovine animals, hearts, frozen",KGM,"880,645","328,327",0,0,"880,645","328,327",Final,,,,
201902,206290011,"Offal, edible; of bovine animals, kidneys, frozen",KGM,"322,402","155,441",0,0,"322,402","155,441",Final,,,,
201902,206290019,"Offal, edible; of bovine animals, sweetbreads, frozen",KGM,"6,487",600,0,0,"6,487",600,Final,,,,
201902,206290029,"Offal, edible; of bovine animals, n.e.c. in item no. 0206.2, frozen",KGM,"10,218,970","1,921,650",0,0,"10,218,970","1,921,650",Final,,,,
201902,206490019,"Offal, edible; of swine, n.e.c. in item no. 0206.4, frozen",KGM,"41,537","2,000",0,0,"41,537","2,000",Final,,,,
201902,206900001,"Offal, edible; of lamb, brains, frozen",KGM,"37,250","3,285",0,0,"37,250","3,285",Final,,,,
201902,206900009,"Offal, edible; of lamb, hearts, frozen",KGM,"735,578","253,385",0,0,"735,578","253,385",Final,,,,
201902,206900011,"Offal, edible; of lamb, kidneys, frozen",KGM,"1,677,511","241,892",0,0,"1,677,511","241,892",Final,,,,
201902,206900019,"Offal, edible; of lamb, livers, frozen",KGM,"1,272,342","785,186",0,0,"1,272,342","785,186",Final,,,,
201902,206900021,"Offal, edible; of lamb, sweetbreads, frozen",KGM,"134,153","19,157",0,0,"134,153","19,157",Final,,,,
201902,206900029,"Offal, edible; of lamb, tongues, frozen",KGM,"155,812","21,324",0,0,"155,812","21,324",Final,,,,
201902,206900039,"Offal, edible; of lamb, n.e.c. in item no. 0206.90, frozen",KGM,"2,704,768","450,360",0,0,"2,704,768","450,360",Final,,,,
201902,206900051,"Offal, edible; of sheep (excluding lamb), kidneys, frozen",KGM,"9,053","1,220",0,0,"9,053","1,220",Final,,,,
201902,206900059,"Offal, edible; of sheep (excluding lamb), livers, frozen",KGM,"852,954","498,697",0,0,"852,954","498,697",Final,,,,
201902,206900069,"Offal, edible; of sheep (excluding lamb), tongues, frozen",KGM,"2,074",329,0,0,"2,074",329,Final,,,,
201902,206900079,"Offal, edible; of sheep (excluding lamb), n.e.c. in item no. 0206.90, frozen",KGM,"1,199,944","276,720",0,0,"1,199,944","276,720",Final,,,,
201902,206900099,"Offal, edible; of goats, horses, asses, mules or hinnies, n.e.c. in item no. 0206.90, frozen",KGM,"6,067","2,536",0,0,"6,067","2,536",Final,,,,
201902,207110000,"Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, fresh or chilled",KGM,"13,846","1,414",0,0,"13,846","1,414",Final,,,,
201902,207120000,"Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, frozen",KGM,"593,137","176,678",0,0,"593,137","176,678",Final,,,,
201902,207130000,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, fresh or chilled",KGM,"236,432","21,242",0,0,"236,432","21,242",Final,,,,
201902,207149000,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen, excluding livers",KGM,"2,719,244","782,592","26,407","10,912","2,745,651","793,504",Final,,,,
201902,207250000,"Meat and edible offal; of turkeys, not cut in pieces, frozen",KGM,"1,064",124,0,0,"1,064",124,Final,,,,
201902,207279000,"Meat and edible offal; of turkeys, cuts and offal, frozen, excluding livers",KGM,198,100,0,0,198,100,Final,,,,
201902,207410010,"Meat and edible offal; of ducks, not cut in pieces, fresh or chilled",KGM,"1,050",144,0,0,"1,050",144,Final,,,,
201902,207420010,"Meat and edible offal; of ducks, not cut in pieces, frozen",KGM,"13,916","1,855",0,0,"13,916","1,855",Final,,,,
201902,207459000,"Meat and edible offal; of ducks, cuts and offal, excluding fatty livers, frozen, excluding livers",KGM,"5,575",259,0,0,"5,575",259,Final,,,,
201902,208900011,"Meat and edible meat offal; of deer, fresh, chilled or frozen, pizzles",KGM,"428,738","4,503",0,0,"428,738","4,503",Final,,,,
201902,208900013,"Meat and edible meat offal; of deer, fresh, chilled or frozen, tails",KGM,"880,682","3,982",0,0,"880,682","3,982",Final,,,,
201902,208900015,"Meat and edible meat offal; of deer, fresh, chilled or frozen, offal (excluding pizzles or tails)",KGM,"513,060","55,872",0,0,"513,060","55,872",Final,,,,
201902,208900017,"Edible meat; other than offal, of deer, venison, chilled",KGM,"2,536,230","83,715",0,0,"2,536,230","83,715",Final,,,,
201902,208900018,"Edible meat; other than offal, of deer, venison, frozen",KGM,"13,110,386","909,416",0,0,"13,110,386","909,416",Final,,,,
201902,210190001,"Meat; of swine, bacon, salted, in brine, dried or smoked",KGM,"48,720","4,979","1,136",104,"49,856","5,083",Final,,,,
201902,210190029,"Meat; of swine, n.e.c. in heading 0210, dried",KGM,240,5,0,0,240,5,Final,,,,
