Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status
202506,6406909029,"Footwear; accessories and similar articles n.e.c. in item no. 6406.90.90, of materials n.e.c. in heading no. 6406",NPR,"21,368",865,378,41,"21,746",906,Final
202506,6504000019,"Hats and other headgear; plaited or made by assembling strips of any material, whether or not lined or trimmed, other than babies' bonnets and helmets or berets",NMB,"6,030",243,"2,747",375,"8,777",618,Final
202506,6505001000,"Hair-nets; of any material, whether or not lined or trimmed",CEN,480,100,"2,316",452,"2,796",552,Final
202506,6505009010,"Hats and other headgear; babies' bonnets and helmets, knitted or crocheted, or made up from lace, felt, or other textile fabric, in the piece (but not in strips), whether or not lined or trimmed",NMB,141,10,"1,858",249,"1,999",259,Final
202506,6505009015,"Hats and other headgear; berets, knitted or crocheted, whether or not lined or trimmed",NMB,"1,432",64,"21,008","3,640","22,440","3,704",Final
202506,6505009029,"Hats and other headgear; knitted or crocheted, whether or not lined or trimmed, excluding berets and babies bonnets and helmets",NMB,"218,982","6,739","93,410","16,852","312,392","23,591",Final
202506,6505009035,"Hats and other headgear; stitched hats and caps, baseball caps, whether or not lined or trimmed",NMB,"19,597","3,591","209,810","33,732","229,407","37,323",Final
202506,6505009039,"Hats and other headgear; stitched hats and caps, bowlers' hats, whether or not lined or trimmed",NMB,0,0,49,7,49,7,Final
202506,6505009045,"Hats and other headgear; stitched hats and caps, other than baseball caps and bowlers' hats, whether or not lined or trimmed",NMB,"14,493",916,"6,315",766,"20,808","1,682",Final
202506,6505009049,Hats and other headgear; n.e.c. in heading no. 6505,NMB,"60,534","2,576","243,477","38,683","304,011","41,259",Final
202506,6506100100,"Headgear, safety; firemen's helmets, whether or not lined or trimmed",NMB,"274,336",899,"100,430",430,"374,766","1,329",Final
202506,6506100902,"Headgear, safety; bicycle crash helmets, whether or not lined or trimmed",NMB,"19,361","1,445",0,0,"19,361","1,445",Final
202506,6506100911,"Headgear, safety; motorcycle crash helmets, whether or not lined or trimmed",NMB,"6,760",1,"2,151",7,"8,911",8,Final
202506,6506100919,"Headgear, safety; crash helmets, (other than for bicycle or motorcycle), whether or not lined or trimmed",NMB,"18,014",31,0,0,"18,014",31,Final
202506,6506100929,"Headgear, safety; (other than fireman's helmets and crash helmets), whether or not lined or trimmed",NMB,"556,234","4,265","26,579",214,"582,813","4,479",Final
202506,6506910000,"Headgear; (other than safety headgear), of rubber or plastics, whether or not lined or trimmed",NMB,147,3,"4,436",174,"4,583",177,Final
202506,6506990019,"Headgear; n.e.c. in chapter 65, whether or not lined or trimmed",NMB,"48,953","2,705","1,156",203,"50,109","2,908",Final
202506,6507000001,"Head-bands, peaks, chinstraps for headgear",,"6,512",,"1,397",,"7,909",,Final
202506,6507000009,"Headgear; linings, covers, hat foundations and frames for headgear",,"36,047",,550,,"36,597",,Final
202506,6601100000,Umbrellas and sun umbrellas; garden or similar umbrellas,NMB,"27,995",92,"36,014","1,925","64,009","2,017",Final
202506,6601910000,"Umbrellas and sun umbrellas; having a telescopic shaft, (excluding garden or similar umbrellas)",NMB,"5,520",9,"1,043",88,"6,563",97,Final
202506,6601990000,Umbrellas and sun umbrellas; n.e.c. in heading no. 6601 (including walking stick umbrellas),NMB,"249,394","7,523","266,979","14,655","516,373","22,178",Final
202506,6602000900,"Walking-sticks, seat-sticks and the like; excluding shepherds crooks",,0,,711,,711,,Final
202506,6602001900,"Whips, riding-crops and the like",,60,,0,,60,,Final
202506,6603200000,Umbrella frames; including frames mounted on shafts (sticks),,"22,656",,0,,"22,656",,Final
202506,6603900019,"Trimmings, accessories and parts of articles of heading no. 6601 or 6602; n.e.c. in heading no. 6603",,"6,123",,0,,"6,123",,Final
202506,6701000000,"Skins and other parts of birds with their feathers or down; feathers, parts of feathers, down and articles thereof (other than goods of heading no. 0505 and worked quills and scapes)",,0,,25,,25,,Final
202506,6702100000,"Flowers, foliage and fruit, artificial, and parts thereof; articles made of artificial flowers, foliage or fruit, of plastics",,"4,395",,"12,746",,"17,141",,Final
202506,6702900000,"Flowers, foliage and fruit, artificial, and parts thereof; articles made of artificial flowers, foliage or fruit, of materials other than plastics",,0,,"1,160",,"1,160",,Final
202506,6704200000,"Wigs, false beards, eyebrows and eyelashes, switches and the like and other articles n.e.c.; of human hair",,"95,184",,0,,"95,184",,Final
202506,6704900000,"Wigs, false beards, eyebrows and eyelashes, switches and the like and other articles n.e.c.; of animal hair or of textile materials other than synthetic",,0,,876,,876,,Final
202506,6802100000,"Tiles, cubes and similar articles; whether or not rectangular (including square), largest face of which is capable of being enclosed in square, side less than 7cm, coloured granules, chippings, powder",,"39,771",,0,,"39,771",,Final
202506,6802210000,"Marble, travertine and alabaster; simply cut or sawn, with a flat or even surface",,260,,0,,260,,Final
202506,6802230000,"Granite; articles thereof, simply cut or sawn, with a flat or even surface",,"36,825",,0,,"36,825",,Final
202506,6802290019,"Stone; monumental or building stone, n.e.c. in item no. 6802.2, articles thereof, simply cut or sawn, with a flat or even surface",,"41,237",,0,,"41,237",,Final
202506,6802910900,"Marble, travertine and alabaster; articles thereof, (other than simply cut or sawn, with a flat or even surface), other than handles for cutlery",,"3,750",,"12,260",,"16,010",,Final
202506,6802930900,"Granite; articles thereof, (other than simply cut or sawn, with a flat or even surface), other than handles for cutlery",,771,,0,,771,,Final
202506,6802990900,"Stone; natural (excluding marble, travertine, alabaster, other calcareous stone or granite), monumental or building stone, (other than simply cut or sawn, with a flat or even surface), other than handles for cutlery",,0,,108,,108,,Final
202506,6803000019,"Slate, worked; and articles of slate or of agglomerated slate, other than roofing or billiard table slates",,0,,676,,676,,Final
202506,6804100000,"Millstones and grindstones; for milling, grinding or pulping, without frameworks, and parts thereof",,0,,39,,39,,Final
202506,6804210001,"Grinding wheels; of agglomerated synthetic or natural diamond, for sharpening, polishing, trueing or cutting, without frameworks, and parts thereof",KGM,"3,524",172,284,8,"3,808",180,Final
202506,6804210011,"Millstones, grindstones and the like (excluding grinding wheels); diamond segmental, for sharpening, polishing, trueing or cutting, without frameworks, and parts thereof",KGM,619,9,108,2,727,11,Final
202506,6804210019,"Millstones, grindstones and the like (excluding grinding wheels); of agglomerated synthetic or natural diamond (not diamond segmental) for sharpening, polishing, trueing or cutting, and parts thereof",KGM,0,0,96,2,96,2,Final
202506,6804220005,"Grinding wheels; of agglomerated abrasives or of ceramics, phenolic resin bonded, reinforced",KGM,0,0,"3,065",137,"3,065",137,Final
202506,6804220019,"Grinding wheels; of agglomerated abrasives or of ceramics, (other than phenolic resin bonded, reinforced)",KGM,"3,668",242,"6,157",159,"9,825",401,Final
202506,6804220029,"Millstones, grindstones and the like (excluding grinding wheels); of agglomerated abrasives or ceramics",KGM,66,2,"7,914",229,"7,980",231,Final
202506,6804230009,"Millstones, grindstones and the like (excluding grinding wheels); of natural stone, for sharpening, polishing, trueing or cutting, without frameworks, and parts thereof",KGM,291,36,0,0,291,36,Final
202506,6804300000,"Stones; hand sharpening or polishing stones, of natural stone, agglomerated natural or artificial abrasives or ceramics, with or without parts of other materials",,132,,"2,787",,"2,919",,Final
202506,6805101900,"Abrasive coated articles; (other than nail files and dental strip, bands and discs), on a base of woven textile fabric only, whether or not cut to shape, sewn or otherwise made up",,463,,"4,919",,"5,382",,Final
202506,6805200100,"Nail files; abrasive coated, on a base of paper or paperboard",,142,,0,,142,,Final
202506,6805201900,"Abrasive coated articles; (other than nail files, dental strip, bands and discs), on a base of paper or paperboard only, whether or not cut to shape, sewn or otherwise made up",,"10,667",,"2,010",,"12,677",,Final
202506,6805300100,"Nail files; abrasive coated, on a base of materials n.e.c. in heading no. 6805",,985,,615,,"1,600",,Final
202506,6805301900,"Abrasive coated articles; (other than nail files, dental strip, bands and discs), on a base of materials n.e.c. in heading no. 6805, whether or not cut to shape or sewn or otherwise made up",,"22,530",,"165,912",,"188,442",,Final
202506,6806100000,"Slag wool, rock wool and similar mineral wools (including intermixtures thereof), in bulk, sheets or rolls",KGM,"44,119","7,678","2,110",25,"46,229","7,703",Final
202506,6806200000,"Exfoliated vermiculite, expanded clays, foamed slag and similar expanded mineral materials (including intermixtures thereof)",KGM,635,59,0,0,635,59,Final
202506,6806900003,"Mineral fibre acoustic ceiling tiles and panels; excluding those of heading no 6811, 6812 or chapter 69",MTK,"42,307",291,"17,596",88,"59,903",379,Final
