Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,,
201909,202300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, frozen",KGM,"83,361,818","10,085,488",0,0,"83,361,818","10,085,488",Final,,,,
201909,202300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, frozen",KGM,"1,596,431","255,273",0,0,"1,596,431","255,273",Final,,,,
201909,202300011,"Meat; of bovine animals, boneless cuts of bull, frozen",KGM,"21,444,363","2,389,507",0,0,"21,444,363","2,389,507",Final,,,,
201909,202300021,"Meat; of bovine animals, boneless cuts of veal (bobby), frozen",KGM,"25,648,363","3,519,345",0,0,"25,648,363","3,519,345",Final,,,,
201909,202300029,"Meat; of bovine animals, boneless cuts of veal (other than bobby), frozen",KGM,"4,968",340,0,0,"4,968",340,Final,,,,
201909,203110008,"Meat; of swine, carcasses and half-carcasses, (other than wild pork), fresh or chilled",KGM,"6,990","1,206",0,0,"6,990","1,206",Final,,,,
201909,203120009,"Meat; of swine (other than wild pork), hams, shoulders and cuts thereof, with bone in, fresh or chilled",KGM,"3,402",250,0,0,"3,402",250,Final,,,,
201909,203220009,"Meat; of swine (other than wild pork), hams, shoulders and cuts thereof, with bone in, frozen",KGM,"171,875","39,867","123,609","25,838","295,484","65,704",Final,,,,
201909,203290001,"Meat; of swine, wild pork, frozen (excluding carcasses, half-carcasses, hams, shoulders and cuts thereof, with bone in)",KGM,0,0,"1,534",212,"1,534",212,Final,,,,
201909,203290019,"Meat; of swine n.e.c. in item no. 0203.2, frozen, other than meat bones and hocks",KGM,"133,376","27,183",0,0,"133,376","27,183",Final,,,,
201909,204100038,"Meat; of sheep, lamb carcasses and half-carcasses, YM grade, fresh or chilled",KGM,"117,176","10,538",0,0,"117,176","10,538",Final,,,,
201909,204100042,"Meat; of sheep, lamb carcasses and half-carcasses, YX grade, fresh or chilled",KGM,"98,486","8,128",0,0,"98,486","8,128",Final,,,,
201909,204100048,"Meat; of sheep, lamb carcasses and half-carcasses n.e.c. in item no. 0204.10, fresh or chilled",KGM,"12,192","1,014",0,0,"12,192","1,014",Final,,,,
201909,204220001,"Meat; of sheep, lamb cuts with bone in, fresh or chilled (excluding carcasses and half-carcasses)",KGM,"27,651,451","1,715,949",0,0,"27,651,451","1,715,949",Final,,,,
201909,204220009,"Meat; of sheep (excluding lamb), cuts with bone in, fresh or chilled, (excluding carcasses and half-carcasses)",KGM,"18,308","1,199",0,0,"18,308","1,199",Final,,,,
201909,204230001,"Meat; of sheep, boneless cuts of lamb, fresh or chilled",KGM,"19,077,893","1,082,636",0,0,"19,077,893","1,082,636",Final,,,,
201909,204230009,"Meat; of sheep (excluding lamb), boneless cuts, fresh or chilled",KGM,"38,733","2,123",0,0,"38,733","2,123",Final,,,,
201909,204300022,"Meat; of sheep, lamb carcasses and half-carcasses, PM grade, frozen",KGM,535,51,0,0,535,51,Final,,,,
201909,204300028,"Meat; of sheep, lamb carcasses and half-carcasses, PX grade, frozen",KGM,852,75,0,0,852,75,Final,,,,
201909,204300032,"Meat; of sheep, lamb carcasses and half-carcasses, YL grade, frozen",KGM,"30,483","3,242",0,0,"30,483","3,242",Final,,,,
201909,204300038,"Meat; of sheep, lamb carcasses and half-carcasses, YM grade, frozen",KGM,"1,064,043","111,190",0,0,"1,064,043","111,190",Final,,,,
201909,204300042,"Meat; of sheep, lamb carcasses and half-carcasses, YX grade, frozen",KGM,"79,381","8,431",0,0,"79,381","8,431",Final,,,,
201909,204300048,"Meat; of sheep, lamb carcasses and half-carcasses n.e.c. in item no. 0204.30, frozen",KGM,"1,867,200","189,026",0,0,"1,867,200","189,026",Final,,,,
201909,204410002,"Meat; of sheep, hogget carcasses and half-carcasses, HL grade, frozen",KGM,"291,849","34,422",0,0,"291,849","34,422",Final,,,,
201909,204410022,"Meat; of sheep, mutton carcasses and half-carcasses, MF grade, frozen",KGM,"243,760","42,596",0,0,"243,760","42,596",Final,,,,
201909,204410028,"Meat; of sheep, mutton carcasses and half-carcasses, MH grade, frozen",KGM,"420,872","64,129",0,0,"420,872","64,129",Final,,,,
201909,204410032,"Meat; of sheep, mutton carcasses and half-carcasses, ML grade, frozen",KGM,"999,933","135,378",0,0,"999,933","135,378",Final,,,,
201909,204410038,"Meat; of sheep, mutton carcasses and half-carcasses, MM grade, frozen",KGM,"98,969","14,258",0,0,"98,969","14,258",Final,,,,
201909,204410042,"Meat; of sheep, mutton carcasses and half-carcasses, MX grade, frozen",KGM,"3,519,114","459,582",0,0,"3,519,114","459,582",Final,,,,
