Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,,
202302,203190009,"Meat; of swine (other than wild pork), fresh or chilled, (excluding carcasses, half-carcasses, and hams, shoulders and cuts thereof, with bone in)",KGM,"11,970","1,800",0,0,"11,970","1,800",Final,,,,
202302,203220009,"Meat; of swine (other than wild pork), hams, shoulders and cuts thereof, with bone in, frozen",KGM,"19,288","2,009",0,0,"19,288","2,009",Final,,,,
202302,203290019,"Meat; of swine n.e.c. in item no. 0203.2, frozen, other than meat bones and hocks",KGM,"143,601","16,419",0,0,"143,601","16,419",Final,,,,
202302,204100038,"Meat; of sheep, lamb carcasses and half-carcasses, YM grade, fresh or chilled",KGM,"52,295","4,139",0,0,"52,295","4,139",Final,,,,
202302,204100042,"Meat; of sheep, lamb carcasses and half-carcasses, YX grade, fresh or chilled",KGM,"78,616","6,076",0,0,"78,616","6,076",Final,,,,
202302,204220001,"Meat; of sheep, lamb cuts with bone in, fresh or chilled (excluding carcasses and half-carcasses)",KGM,"54,701,533","3,897,818",0,0,"54,701,533","3,897,818",Final,,,,
202302,204220009,"Meat; of sheep (excluding lamb), cuts with bone in, fresh or chilled, (excluding carcasses and half-carcasses)",KGM,"49,638","4,340",0,0,"49,638","4,340",Final,,,,
202302,204230001,"Meat; of sheep, boneless cuts of lamb, fresh or chilled",KGM,"19,834,593","1,053,677",0,0,"19,834,593","1,053,677",Final,,,,
202302,204300002,"Meat; of sheep, lamb carcasses and half-carcasses, A grade, frozen",KGM,"507,254","56,379",0,0,"507,254","56,379",Final,,,,
202302,204300022,"Meat; of sheep, lamb carcasses and half-carcasses, PM grade, frozen",KGM,"403,885","46,476",0,0,"403,885","46,476",Final,,,,
202302,204300032,"Meat; of sheep, lamb carcasses and half-carcasses, YL grade, frozen",KGM,"592,482","63,774",0,0,"592,482","63,774",Final,,,,
202302,204300038,"Meat; of sheep, lamb carcasses and half-carcasses, YM grade, frozen",KGM,"1,487,121","170,135",0,0,"1,487,121","170,135",Final,,,,
202302,204300042,"Meat; of sheep, lamb carcasses and half-carcasses, YX grade, frozen",KGM,"103,333","11,442",0,0,"103,333","11,442",Final,,,,
202302,204300048,"Meat; of sheep, lamb carcasses and half-carcasses n.e.c. in item no. 0204.30, frozen",KGM,"54,019","5,087",0,0,"54,019","5,087",Final,,,,
202302,204410022,"Meat; of sheep, mutton carcasses and half-carcasses, MF grade, frozen",KGM,"952,907","192,922",0,0,"952,907","192,922",Final,,,,
202302,204410028,"Meat; of sheep, mutton carcasses and half-carcasses, MH grade, frozen",KGM,"704,627","150,056",0,0,"704,627","150,056",Final,,,,
202302,204410032,"Meat; of sheep, mutton carcasses and half-carcasses, ML grade, frozen",KGM,"3,743,488","667,690",0,0,"3,743,488","667,690",Final,,,,
202302,204410038,"Meat; of sheep, mutton carcasses and half-carcasses, MM grade, frozen",KGM,"81,870","16,209",0,0,"81,870","16,209",Final,,,,
202302,204410042,"Meat; of sheep, mutton carcasses and half-carcasses, MX grade, frozen",KGM,"13,855,216","2,438,270",0,0,"13,855,216","2,438,270",Final,,,,
202302,204410048,"Meat; of sheep, mutton carcasses and half-carcasses n.e.c. in item no. 0204.41, frozen",KGM,"1,526,351","285,074",0,0,"1,526,351","285,074",Final,,,,
202302,204420001,"Meat; of sheep, lamb cuts with bone in, frozen (excluding carcasses and half-carcasses)",KGM,"162,832,859","17,213,232",0,0,"162,832,859","17,213,232",Final,,,,
202302,204420009,"Meat; of sheep (excluding lamb), cuts with bone in, frozen (excluding carcasses and half-carcasses)",KGM,"40,953,298","6,829,619",0,0,"40,953,298","6,829,619",Final,,,,
202302,204430001,"Meat; of sheep, boneless cuts of lamb, frozen",KGM,"22,428,626","1,848,846",0,0,"22,428,626","1,848,846",Final,,,,
202302,204430009,"Meat; of sheep (excluding lamb), boneless cuts, frozen",KGM,"5,115,947","451,379",0,0,"5,115,947","451,379",Final,,,,
202302,204500000,"Meat; of goats, fresh, chilled or frozen",KGM,"252,601","21,245",0,0,"252,601","21,245",Final,,,,
202302,206100019,"Offal, edible; of bovine animals, livers, fresh or chilled",KGM,"77,704","25,996",0,0,"77,704","25,996",Final,,,,
202302,206100029,"Offal, edible; of bovine animals, tongues, fresh or chilled",KGM,"156,122","8,078",0,0,"156,122","8,078",Final,,,,
202302,206100039,"Offal, edible; of bovine animals, n.e.c. in item no. 0206.10, fresh or chilled",KGM,"529,117","58,879",0,0,"529,117","58,879",Final,,,,
202302,206210000,"Offal, edible; of bovine animals, tongues, frozen",KGM,"4,718,618","609,206",0,0,"4,718,618","609,206",Final,,,,
202302,206220000,"Offal, edible; of bovine animals, livers, frozen",KGM,"1,253,590","645,414",0,0,"1,253,590","645,414",Final,,,,
202302,206290009,"Offal, edible; of bovine animals, hearts, frozen",KGM,"718,415","230,300",0,0,"718,415","230,300",Final,,,,
202302,206290011,"Offal, edible; of bovine animals, kidneys, frozen",KGM,"158,059","79,464",0,0,"158,059","79,464",Final,,,,
202302,206290019,"Offal, edible; of bovine animals, sweetbreads, frozen",KGM,"66,865","4,056",0,0,"66,865","4,056",Final,,,,
202302,206290029,"Offal, edible; of bovine animals, n.e.c. in item no. 0206.2, frozen",KGM,"11,614,537","1,347,657",0,0,"11,614,537","1,347,657",Final,,,,
202302,206900009,"Offal, edible; of lamb, hearts, frozen",KGM,"509,226","92,859",0,0,"509,226","92,859",Final,,,,
202302,206900011,"Offal, edible; of lamb, kidneys, frozen",KGM,"1,271,100","187,690",0,0,"1,271,100","187,690",Final,,,,
202302,206900019,"Offal, edible; of lamb, livers, frozen",KGM,"856,304","355,447",0,0,"856,304","355,447",Final,,,,
202302,206900021,"Offal, edible; of lamb, sweetbreads, frozen",KGM,"91,454","9,059",0,0,"91,454","9,059",Final,,,,
202302,206900029,"Offal, edible; of lamb, tongues, frozen",KGM,"75,608","6,707",0,0,"75,608","6,707",Final,,,,
202302,206900039,"Offal, edible; of lamb, n.e.c. in item no. 0206.90, frozen",KGM,"1,309,131","148,466",0,0,"1,309,131","148,466",Final,,,,
202302,206900049,"Offal, edible; of sheep (excluding lamb), hearts, frozen",KGM,"298,616","46,494",0,0,"298,616","46,494",Final,,,,
202302,206900059,"Offal, edible; of sheep (excluding lamb), livers, frozen",KGM,"1,305,895","333,338",0,0,"1,305,895","333,338",Final,,,,
202302,206900069,"Offal, edible; of sheep (excluding lamb), tongues, frozen",KGM,"12,163","1,340",0,0,"12,163","1,340",Final,,,,
202302,206900079,"Offal, edible; of sheep (excluding lamb), n.e.c. in item no. 0206.90, frozen",KGM,"316,594","74,778",0,0,"316,594","74,778",Final,,,,
202302,206900091,"Offal, edible; of goats, horses, asses, mules or hinnies, livers, frozen",KGM,"478,882","126,037",0,0,"478,882","126,037",Final,,,,
202302,207110000,"Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, fresh or chilled",KGM,"13,471","1,130",0,0,"13,471","1,130",Final,,,,
202302,207120000,"Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, frozen",KGM,"378,403","86,066",0,0,"378,403","86,066",Final,,,,
202302,207130000,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, fresh or chilled",KGM,"387,037","26,123",0,0,"387,037","26,123",Final,,,,
202302,207149000,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen, excluding livers",KGM,"1,209,168","383,046",0,0,"1,209,168","383,046",Final,,,,
202302,207250000,"Meat and edible offal; of turkeys, not cut in pieces, frozen",KGM,"55,957","4,193",0,0,"55,957","4,193",Final,,,,
202302,207279000,"Meat and edible offal; of turkeys, cuts and offal, frozen, excluding livers",KGM,"6,266",565,0,0,"6,266",565,Final,,,,
202302,207420010,"Meat and edible offal; of ducks, not cut in pieces, frozen",KGM,"150,488","17,867",0,0,"150,488","17,867",Final,,,,
202302,207459000,"Meat and edible offal; of ducks, cuts and offal, excluding fatty livers, frozen, excluding livers",KGM,"5,853",545,0,0,"5,853",545,Final,,,,
202302,208900011,"Meat and edible meat offal; of deer, fresh, chilled or frozen, pizzles",KGM,"18,357",248,0,0,"18,357",248,Final,,,,
202302,208900013,"Meat and edible meat offal; of deer, fresh, chilled or frozen, tails",KGM,"8,040",47,0,0,"8,040",47,Final,,,,
202302,208900015,"Meat and edible meat offal; of deer, fresh, chilled or frozen, offal (excluding pizzles or tails)",KGM,"226,106","28,790",0,0,"226,106","28,790",Final,,,,
202302,208900017,"Edible meat; other than offal, of deer, venison, chilled",KGM,"1,542,048","54,268",0,0,"1,542,048","54,268",Final,,,,
202302,208900018,"Edible meat; other than offal, of deer, venison, frozen",KGM,"12,534,301","906,173",0,0,"12,534,301","906,173",Final,,,,
202302,210190001,"Meat; of swine, bacon, salted, in brine, dried or smoked",KGM,"13,871","1,077","42,349","2,949","56,220","4,026",Final,,,,
202302,210200000,"Meat; of bovine animals, salted, in brine, dried or smoked",KGM,"8,051","1,984",0,0,"8,051","1,984",Final,,,,
202302,210993050,"Meat and edible meat offal; salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal, n.e.c. in heading 0210",KGM,"916,567","17,565",0,0,"916,567","17,565",Final,,,,
202302,301920000,"Fish; live, eels (anguilla spp.)",KGM,"113,066","7,020",0,0,"113,066","7,020",Final,,,,
202302,302130010,"Fish; fresh or chilled, Pacific salmon (Oncorhynchus nerka/gorbuscha/keta/tschawytscha/kisutch/masou/rhodurus), whole",KGM,"6,711,284","287,191",0,0,"6,711,284","287,191",Final,,,,
202302,302130015,"Fish; fresh or chilled, Pacific salmon (Oncorhynchus nerka/gorbuscha/keta/tschawytscha/kisutch/masou/rhodurus), headed and gutted",KGM,"708,084","44,934",0,0,"708,084","44,934",Final,,,,
202302,302130029,"Fish; fresh or chilled, Pacific salmon (Oncorhynchus nerka/gorbuscha/keta/tschawytscha/kisutch/masou/rhodurus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"1,938,856","74,998",0,0,"1,938,856","74,998",Final,,,,
202302,302240010,"Fish; fresh or chilled, turbots (Psetta maxima, Scophthalmidae), whole",KGM,"12,527","1,124",0,0,"12,527","1,124",Final,,,,
202302,302290002,"Fish; fresh or chilled, flounder, whole",KGM,"122,101","9,456",0,0,"122,101","9,456",Final,,,,
202302,302290028,"Fish; fresh or chilled, flat fish n.e.c. in heading 0302, whole",KGM,996,121,0,0,996,121,Final,,,,
202302,302290063,"Fish; fresh or chilled, flounder, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"41,840","2,203",0,0,"41,840","2,203",Final,,,,
202302,302290097,"Fish; fresh or chilled, flat fish n.e.c. in heading 0302, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"5,051",397,0,0,"5,051",397,Final,,,,
202302,302310011,"Fish; fresh or chilled, albacore or longfinned tunas (Thunnus alalunga), headed and gutted",KGM,"5,217",532,0,0,"5,217",532,Final,,,,
202302,302320001,"Fish; fresh or chilled, yellowfin tunas (Thunnus albacares), whole",KGM,"19,524","1,261",0,0,"19,524","1,261",Final,,,,
202302,302320011,"Fish; fresh or chilled, yellowfin tunas (Thunnus albacares), headed and gutted",KGM,"2,088",168,0,0,"2,088",168,Final,,,,
202302,302320029,"Fish; fresh or chilled, yellowfin tunas (Thunnus albacares), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"5,728",550,0,0,"5,728",550,Final,,,,
202302,302340010,"Fish; fresh or chilled, bigeye tunas (Thunnus obesus), whole",KGM,"128,472","5,914",0,0,"128,472","5,914",Final,,,,
202302,302340012,"Fish; fresh or chilled, bigeye tunas (Thunnus obesus), headed and gutted",KGM,"5,338",522,0,0,"5,338",522,Final,,,,
202302,302340029,"Fish; fresh or chilled, bigeye tunas (Thunnus obesus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"279,127","20,222",0,0,"279,127","20,222",Final,,,,
202302,302350033,"Fish; fresh or chilled, Pacific bluefin tunas (Thunnus orientalis), whole",KGM,"70,198","6,370",0,0,"70,198","6,370",Final,,,,
202302,302360010,"Fish; fresh or chilled, southern bluefin tunas (Thunnus maccoyii), whole",KGM,"406,909","30,300",0,0,"406,909","30,300",Final,,,,
202302,302390007,"Fish; fresh or chilled, tuna, n.e.c. in item no. 0302.3, whole",KGM,"5,153",400,0,0,"5,153",400,Final,,,,
202302,302440010,"Fish; fresh or chilled, mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), whole",KGM,247,29,0,0,247,29,Final,,,,
202302,302470015,"Fish; fresh or chilled, swordfish (Xiphias gladius), headed and gutted",KGM,"98,676","7,300",0,0,"98,676","7,300",Final,,,,
202302,302470029,"Fish; fresh or chilled, swordfish (Xiphias gladius), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"27,378","2,394",0,0,"27,378","2,394",Final,,,,
