Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status
202306,6211120001,"Swimwear; women's or girls', of man-made fibres (not knitted or crocheted)",NMB,"1,270",127,"1,254",6,"2,524",133,Provisional
202306,6211120009,"Swimwear; women's or girls', of other than man-made fibres (not knitted or crocheted)",NMB,0,0,119,3,119,3,Provisional
202306,6211320200,"Track suits and other garments n.e.c.; men's or boys', of cotton (not knitted or crocheted)",NMB,"3,828",110,"96,187","2,792","100,015","2,902",Provisional
202306,6211330200,"Track suits and other garments n.e.c.; men's or boys', of man-made fibres (not knitted or crocheted)",NMB,"62,727","1,179","156,793","8,337","219,520","9,516",Provisional
202306,6211390010,"Track suits and other garments; n.e.c. in chapter 62, men's or boys', of wool or fine animal hair (not knitted or crocheted)",NMB,173,1,"19,962",653,"20,135",654,Provisional
202306,6211390019,"Track-suits and other garments; n.e.c. in chapter 62, men's or boys', of textile materials other than wool or fine animal hair, cotton or man-made fibres (not knitted or crocheted)",NMB,0,0,"8,476",206,"8,476",206,Provisional
202306,6211420000,"Track suits and other garments n.e.c.; women's or girls', of cotton (not knitted or crocheted)",NMB,"2,776",146,"15,145","1,124","17,921","1,270",Provisional
202306,6211430000,"Track suits and other garments n.e.c.; women's or girls', of man-made fibres (not knitted or crocheted)",NMB,"29,664",275,"206,530","15,308","236,194","15,583",Provisional
202306,6211491000,"Track suits and other garments n.e.c.; women's or girls', of wool or fine animal hair (not knitted or crocheted)",NMB,115,3,219,1,334,4,Provisional
202306,6211499000,"Track suits and other garments n.e.c.; women's or girls', made of textile materials other than cotton, man-made fibres, and wool or fine animal hair (not knitted or crocheted)",NMB,"18,717",671,"38,299","1,666","57,016","2,337",Provisional
202306,6212100200,Brassieres; whether or not knitted or crocheted,NMB,"4,832",332,"376,115","34,028","380,947","34,360",Provisional
202306,6212300200,Corselettes; whether or not knitted or crocheted,NMB,794,1,0,0,794,1,Provisional
202306,6212900200,"Braces, suspenders, garters and similar articles; whether or not knitted or crocheted, n.e.c. in heading no. 6212",NMB,549,29,445,30,994,59,Provisional
202306,6212901100,"Apparel and clothing accessories; made up shoulder straps, of brassieres, girdles, corsets, braces, suspenders, garters and similar articles, whether or not knitted or crocheted",,72,,0,,72,,Provisional
202306,6212901800,"Apparel and clothing accessories; parts (other than made up shoulder straps), of brassieres, girdles, corsets, braces and similar articles, whether or not knitted or crocheted",,660,,89,,749,,Provisional
202306,6213200000,Handkerchiefs; of cotton (not knitted or crocheted),NMB,0,0,302,2,302,2,Provisional
202306,6213900010,Handkerchiefs; of silk or silk waste (not knitted or crocheted),NMB,"5,660",542,"8,587","1,013","14,247","1,555",Provisional
202306,6213900019,"Handkerchiefs; of textile materials other than silk, silk waste or cotton (not knitted or crocheted)",NMB,0,0,94,4,94,4,Provisional
202306,6214100000,"Shawls, scarves, mufflers, mantillas, veils and the like; of silk or silk waste (not knitted or crocheted)",NMB,0,0,"25,492",91,"25,492",91,Provisional
202306,6214200000,"Shawls, scarves, mufflers, mantillas, veils and the like; of wool or fine animal hair (not knitted or crocheted)",NMB,"3,774",120,"11,582",62,"15,356",182,Provisional
202306,6214300000,"Shawls, scarves, mufflers, mantillas, veils and the like; of synthetic fibres (not knitted or crocheted)",NMB,818,3,40,2,858,5,Provisional
202306,6214900000,"Shawls, scarves, mufflers, mantillas, veils and the like; of textile materials n.e.c. in heading no. 6214 (not knitted or crocheted)",NMB,306,7,"6,821","1,381","7,127","1,388",Provisional
202306,6215100200,"Ties, bow ties and cravats; of silk or silk waste (not knitted or crocheted)",NMB,"16,755",885,"26,367","1,976","43,122","2,861",Provisional
202306,6215200200,"Ties, bow ties and cravats; of man-made fibres (not knitted or crocheted)",NMB,310,8,"5,188",8,"5,498",16,Provisional
202306,6215900200,"Ties, bow ties and cravats; of textile materials other than silk or man-made fibres (not knitted or crocheted)",NMB,"4,073",110,544,122,"4,617",232,Provisional
202306,6216000002,"Gloves, mittens and mitts; ski, (not knitted or crocheted)",NPR,355,15,0,0,355,15,Provisional
202306,6216000009,"Gloves, mittens and mitts; work (not knitted or crocheted)",NPR,439,150,0,0,439,150,Provisional
202306,6216000019,"Gloves, mittens and mitts; (for other than skiing, motorcycling or work), (not knitted or crocheted)",NPR,"2,052",625,"9,031",171,"11,083",796,Provisional
202306,6217100009,"Clothing accessories; other than shoulder pads and those included in heading no. 6212, (not knitted or crocheted)",,"15,170",,"6,539",,"21,709",,Provisional
202306,6217900000,"Clothing; parts of garments or of clothing accessories, other than those of heading no. 6212 (not knitted or crocheted)",,0,,65,,65,,Provisional
202306,6301100000,Blankets; electric,NMB,0,0,900,9,900,9,Provisional
202306,6301200209,"Blankets (other than electric) and travelling rugs; of wool or of fine animal hair, knitted or crocheted, of an area exceeding 1m2",NMB,"14,046",55,0,0,"14,046",55,Provisional
202306,6301200800,"Blankets (other than electric) and travelling rugs; of wool or of fine animal hair, (other than knitted or crocheted), of an area exceeding 1m2",NMB,"13,730",140,"13,598",450,"27,328",590,Provisional
202306,6301300209,"Blankets (other than electric) and travelling rugs; of cotton, knitted or crocheted, of an area exceeding 1m2",NMB,0,0,"1,920",64,"1,920",64,Provisional
202306,6301300800,"Blankets (other than electric) and travelling rugs; of cotton, (other than knitted or crocheted), of an area exceeding 1m2",NMB,"12,595",136,439,39,"13,034",175,Provisional
202306,6301400201,"Blankets (other than electric) and travelling rugs; of synthetic fibres, knitted or crocheted, of an area not exceeding 1m2",NMB,"1,870",25,149,13,"2,019",38,Provisional
202306,6301400209,"Blankets (other than electric) and travelling rugs; of synthetic fibres, knitted or crocheted, of an area exceeding 1m2",NMB,0,0,24,1,24,1,Provisional
202306,6301400500,"Blankets (other than electric) and travelling rugs; of synthetic fibres, (other than knitted or crocheted), of an area not exceeding 1m2",NMB,0,0,395,14,395,14,Provisional
202306,6301400800,"Blankets (other than electric) and travelling rugs; of synthetic fibres, (other than knitted or crocheted), of an area exceeding 1m2",NMB,704,240,"93,118","6,057","93,822","6,297",Provisional
202306,6301900800,"Blankets (other than electric) and travelling rugs; of textile materials, (not of wool, fine animal hair, cotton or synthetic fibres), (other than knitted or crocheted), of an area exceeding 1m2",NMB,0,0,"2,289",152,"2,289",152,Provisional
202306,6302100000,Bed linen; knitted or crocheted,NMB,150,1,"5,450",178,"5,600",179,Provisional
