Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,,
201904,202300021,"Meat; of bovine animals, boneless cuts of veal (bobby), frozen",KGM,"445,781","78,646",0,0,"445,781","78,646",Final,,,,
201904,203120009,"Meat; of swine (other than wild pork), hams, shoulders and cuts thereof, with bone in, fresh or chilled",KGM,"1,455",154,0,0,"1,455",154,Final,,,,
201904,203220009,"Meat; of swine (other than wild pork), hams, shoulders and cuts thereof, with bone in, frozen",KGM,"46,938","13,037","5,584","1,230","52,522","14,267",Final,,,,
201904,203290019,"Meat; of swine n.e.c. in item no. 0203.2, frozen, other than meat bones and hocks",KGM,"48,645","9,743",0,0,"48,645","9,743",Final,,,,
201904,204100038,"Meat; of sheep, lamb carcasses and half-carcasses, YM grade, fresh or chilled",KGM,"261,418","26,154",0,0,"261,418","26,154",Final,,,,
201904,204100042,"Meat; of sheep, lamb carcasses and half-carcasses, YX grade, fresh or chilled",KGM,"228,632","20,705",0,0,"228,632","20,705",Final,,,,
201904,204100048,"Meat; of sheep, lamb carcasses and half-carcasses n.e.c. in item no. 0204.10, fresh or chilled",KGM,"28,594","1,902",0,0,"28,594","1,902",Final,,,,
201904,204210008,"Meat; of sheep, hogget carcasses and half-carcasses, HX grade, fresh or chilled",KGM,"11,442","1,598",0,0,"11,442","1,598",Final,,,,
201904,204210038,"Meat; of sheep, mutton carcasses and half-carcasses, MM grade, fresh or chilled",KGM,"62,755","8,864",0,0,"62,755","8,864",Final,,,,
201904,204220001,"Meat; of sheep, lamb cuts with bone in, fresh or chilled (excluding carcasses and half-carcasses)",KGM,"54,839,317","4,248,283",0,0,"54,839,317","4,248,283",Final,,,,
201904,204220009,"Meat; of sheep (excluding lamb), cuts with bone in, fresh or chilled, (excluding carcasses and half-carcasses)",KGM,"8,979",671,0,0,"8,979",671,Final,,,,
201904,204230001,"Meat; of sheep, boneless cuts of lamb, fresh or chilled",KGM,"25,350,854","1,590,630",0,0,"25,350,854","1,590,630",Final,,,,
201904,204230009,"Meat; of sheep (excluding lamb), boneless cuts, fresh or chilled",KGM,"43,953","2,369",0,0,"43,953","2,369",Final,,,,
201904,204300002,"Meat; of sheep, lamb carcasses and half-carcasses, A grade, frozen",KGM,"41,544","4,491",0,0,"41,544","4,491",Final,,,,
201904,204300012,"Meat; of sheep, lamb carcasses and half-carcasses, PH grade, frozen",KGM,"206,490","25,841",0,0,"206,490","25,841",Final,,,,
201904,204300022,"Meat; of sheep, lamb carcasses and half-carcasses, PM grade, frozen",KGM,"1,696",180,0,0,"1,696",180,Final,,,,
201904,204300028,"Meat; of sheep, lamb carcasses and half-carcasses, PX grade, frozen",KGM,"636,743","82,771",0,0,"636,743","82,771",Final,,,,
