Month,Harmonised System Code,Harmonised System Description,Unit Qty,Imports ($NZD vfd),Imports ($NZD cif),Imports Qty,Status,,
202210,210190019,"Meat; of swine, n.e.c. in heading 0210, smoked",KGM,"4,823","5,795",176,Final,,
202210,210190029,"Meat; of swine, n.e.c. in heading 0210, dried",KGM,"167,554","190,969","8,561",Final,,
202210,210200000,"Meat; of bovine animals, salted, in brine, dried or smoked",KGM,"30,610","33,081",113,Final,,
202210,301110000,"Fish; live, ornamental, freshwater",KGM,"52,991","83,885","1,240",Final,,
202210,301190000,"Fish; live, ornamental, other than freshwater",KGM,"20,547","31,459",645,Final,,
202210,302140010,"Fish; fresh or chilled, Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho), whole",KGM,"35,062","35,062","2,129",Final,,
202210,302310011,"Fish; fresh or chilled, albacore or longfinned tunas (Thunnus alalunga), headed and gutted",KGM,"2,129","2,134",185,Final,,
202210,302320011,"Fish; fresh or chilled, yellowfin tunas (Thunnus albacares), headed and gutted",KGM,"123,341","203,238","22,153",Final,,
202210,302340012,"Fish; fresh or chilled, bigeye tunas (Thunnus obesus), headed and gutted",KGM,440,442,55,Final,,
202210,302470015,"Fish; fresh or chilled, swordfish (Xiphias gladius), headed and gutted",KGM,"3,586","6,205",720,Final,,
202210,302892015,"Fish; fresh or chilled, groper, headed and gutted",KGM,"16,294","17,083",720,Final,,
202210,303190039,"Fish; frozen, salmonidae, n.e.c. in item no. 0303.1, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99, other than whole or headed and gutted",KGM,"537,456","537,456","18,482",Final,,
202210,303390097,"Fish; frozen, flat fish, n.e.c. in item no. 0303.3, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99, other than whole or headed and gutted",KGM,"1,454","2,284",489,Final,,
202210,303430001,"Fish; frozen, skipjack tuna (stripe-bellied bonito) (Katsuwonus pelamis), whole",KGM,"65,793","65,892","24,000",Final,,
202210,303490013,"Fish; frozen, tuna, n.e.c. in item no. 0303.4, whole",KGM,"37,584","37,734","14,630",Final,,
202210,303530010,"Fish; frozen, sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), whole",KGM,"28,666","38,705","9,892",Final,,
