Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,,
202304,202300011,"Meat; of bovine animals, boneless cuts of bull, frozen",KGM,"78,097,446","7,986,251",0,0,"78,097,446","7,986,251",Provisional,,,,
202304,202300021,"Meat; of bovine animals, boneless cuts of veal (bobby), frozen",KGM,"757,171","102,830",0,0,"757,171","102,830",Provisional,,,,
202304,202300029,"Meat; of bovine animals, boneless cuts of veal (other than bobby), frozen",KGM,"107,155","41,119",0,0,"107,155","41,119",Provisional,,,,
202304,203120009,"Meat; of swine (other than wild pork), hams, shoulders and cuts thereof, with bone in, fresh or chilled",KGM,"2,228",207,0,0,"2,228",207,Provisional,,,,
202304,203210008,"Meat; of swine, carcasses and half-carcasses, (other than wild pork), frozen",KGM,"20,019","2,093",0,0,"20,019","2,093",Provisional,,,,
202304,203220009,"Meat; of swine (other than wild pork), hams, shoulders and cuts thereof, with bone in, frozen",KGM,"8,325","1,484",0,0,"8,325","1,484",Provisional,,,,
202304,203290011,"Meat; of swine n.e.c. in item no. 0203.2, frozen, meat bones and hocks",KGM,"13,349","2,244","18,075","3,059","31,424","5,303",Provisional,,,,
202304,203290019,"Meat; of swine n.e.c. in item no. 0203.2, frozen, other than meat bones and hocks",KGM,"170,831","19,179","102,464","12,009","273,295","31,189",Provisional,,,,
202304,204100038,"Meat; of sheep, lamb carcasses and half-carcasses, YM grade, fresh or chilled",KGM,"77,248","5,854",0,0,"77,248","5,854",Provisional,,,,
202304,204100042,"Meat; of sheep, lamb carcasses and half-carcasses, YX grade, fresh or chilled",KGM,"74,617","5,660",0,0,"74,617","5,660",Provisional,,,,
202304,204210048,"Meat; of sheep, mutton carcasses and half-carcasses n.e.c. in item no. 0204.21, fresh or chilled",KGM,"187,540","28,518",0,0,"187,540","28,518",Provisional,,,,
202304,204220001,"Meat; of sheep, lamb cuts with bone in, fresh or chilled (excluding carcasses and half-carcasses)",KGM,"32,046,635","1,680,240",0,0,"32,046,635","1,680,240",Provisional,,,,
202304,204230001,"Meat; of sheep, boneless cuts of lamb, fresh or chilled",KGM,"19,287,263","991,901",0,0,"19,287,263","991,901",Provisional,,,,
202304,204230009,"Meat; of sheep (excluding lamb), boneless cuts, fresh or chilled",KGM,"13,004",531,0,0,"13,004",531,Provisional,,,,
202304,204300002,"Meat; of sheep, lamb carcasses and half-carcasses, A grade, frozen",KGM,"560,739","64,760",0,0,"560,739","64,760",Provisional,,,,
202304,204300012,"Meat; of sheep, lamb carcasses and half-carcasses, PH grade, frozen",KGM,"117,352","14,713",0,0,"117,352","14,713",Provisional,,,,
202304,204300022,"Meat; of sheep, lamb carcasses and half-carcasses, PM grade, frozen",KGM,"330,840","35,986",0,0,"330,840","35,986",Provisional,,,,
202304,204300028,"Meat; of sheep, lamb carcasses and half-carcasses, PX grade, frozen",KGM,"105,522","14,452",0,0,"105,522","14,452",Provisional,,,,
202304,204300032,"Meat; of sheep, lamb carcasses and half-carcasses, YL grade, frozen",KGM,"446,286","50,576",0,0,"446,286","50,576",Provisional,,,,
202304,204300038,"Meat; of sheep, lamb carcasses and half-carcasses, YM grade, frozen",KGM,"2,660,021","283,339",0,0,"2,660,021","283,339",Provisional,,,,
202304,204300042,"Meat; of sheep, lamb carcasses and half-carcasses, YX grade, frozen",KGM,"352,081","37,967",0,0,"352,081","37,967",Provisional,,,,
202304,204300048,"Meat; of sheep, lamb carcasses and half-carcasses n.e.c. in item no. 0204.30, frozen",KGM,"171,676","19,124",0,0,"171,676","19,124",Provisional,,,,
202304,204410022,"Meat; of sheep, mutton carcasses and half-carcasses, MF grade, frozen",KGM,"225,105","41,365",0,0,"225,105","41,365",Provisional,,,,
202304,204410028,"Meat; of sheep, mutton carcasses and half-carcasses, MH grade, frozen",KGM,"209,190","37,047",0,0,"209,190","37,047",Provisional,,,,
202304,204410032,"Meat; of sheep, mutton carcasses and half-carcasses, ML grade, frozen",KGM,"1,834,026","304,087",0,0,"1,834,026","304,087",Provisional,,,,
202304,204410038,"Meat; of sheep, mutton carcasses and half-carcasses, MM grade, frozen",KGM,"504,908","77,591",0,0,"504,908","77,591",Provisional,,,,
202304,204410042,"Meat; of sheep, mutton carcasses and half-carcasses, MX grade, frozen",KGM,"10,937,805","1,727,817",0,0,"10,937,805","1,727,817",Provisional,,,,
202304,204410048,"Meat; of sheep, mutton carcasses and half-carcasses n.e.c. in item no. 0204.41, frozen",KGM,"1,474,582","227,058",0,0,"1,474,582","227,058",Provisional,,,,
202304,204420001,"Meat; of sheep, lamb cuts with bone in, frozen (excluding carcasses and half-carcasses)",KGM,"238,899,404","24,167,926","330,292","10,892","239,229,696","24,178,817",Provisional,,,,
202304,204420009,"Meat; of sheep (excluding lamb), cuts with bone in, frozen (excluding carcasses and half-carcasses)",KGM,"29,062,893","4,579,954",0,0,"29,062,893","4,579,954",Provisional,,,,
202304,204430001,"Meat; of sheep, boneless cuts of lamb, frozen",KGM,"41,167,868","3,277,709",0,0,"41,167,868","3,277,709",Provisional,,,,
202304,204430009,"Meat; of sheep (excluding lamb), boneless cuts, frozen",KGM,"6,504,522","495,529",0,0,"6,504,522","495,529",Provisional,,,,
202304,204500000,"Meat; of goats, fresh, chilled or frozen",KGM,"568,022","86,588",0,0,"568,022","86,588",Provisional,,,,
202304,206100011,"Offal, edible; of bovine animals, kidneys, fresh or chilled",KGM,"5,940","1,998",0,0,"5,940","1,998",Provisional,,,,
202304,206100029,"Offal, edible; of bovine animals, tongues, fresh or chilled",KGM,"221,724","12,527",0,0,"221,724","12,527",Provisional,,,,
202304,206100039,"Offal, edible; of bovine animals, n.e.c. in item no. 0206.10, fresh or chilled",KGM,"589,979","43,885",0,0,"589,979","43,885",Provisional,,,,
202304,206210000,"Offal, edible; of bovine animals, tongues, frozen",KGM,"4,656,883","704,778",0,0,"4,656,883","704,778",Provisional,,,,
202304,206220000,"Offal, edible; of bovine animals, livers, frozen",KGM,"1,202,912","581,338",0,0,"1,202,912","581,338",Provisional,,,,
202304,206290009,"Offal, edible; of bovine animals, hearts, frozen",KGM,"1,178,311","287,390",0,0,"1,178,311","287,390",Provisional,,,,
202304,206290011,"Offal, edible; of bovine animals, kidneys, frozen",KGM,"328,111","157,100",0,0,"328,111","157,100",Provisional,,,,
202304,206290019,"Offal, edible; of bovine animals, sweetbreads, frozen",KGM,"2,830",336,0,0,"2,830",336,Provisional,,,,
202304,206290029,"Offal, edible; of bovine animals, n.e.c. in item no. 0206.2, frozen",KGM,"15,349,978","1,764,846",0,0,"15,349,978","1,764,846",Provisional,,,,
202304,206900009,"Offal, edible; of lamb, hearts, frozen",KGM,"904,811","149,372",0,0,"904,811","149,372",Provisional,,,,
202304,206900011,"Offal, edible; of lamb, kidneys, frozen",KGM,"1,565,364","205,394",0,0,"1,565,364","205,394",Provisional,,,,
202304,206900019,"Offal, edible; of lamb, livers, frozen",KGM,"1,489,807","571,962",0,0,"1,489,807","571,962",Provisional,,,,
202304,206900021,"Offal, edible; of lamb, sweetbreads, frozen",KGM,"60,904","5,778",0,0,"60,904","5,778",Provisional,,,,
202304,206900029,"Offal, edible; of lamb, tongues, frozen",KGM,"88,547","8,448",0,0,"88,547","8,448",Provisional,,,,
202304,206900039,"Offal, edible; of lamb, n.e.c. in item no. 0206.90, frozen",KGM,"3,210,331","371,364",0,0,"3,210,331","371,364",Provisional,,,,
202304,206900049,"Offal, edible; of sheep (excluding lamb), hearts, frozen",KGM,"744,306","119,388",0,0,"744,306","119,388",Provisional,,,,
202304,206900059,"Offal, edible; of sheep (excluding lamb), livers, frozen",KGM,"1,799,288","510,777",0,0,"1,799,288","510,777",Provisional,,,,
202304,206900061,"Offal, edible; of sheep (excluding lamb), sweetbreads, frozen",KGM,"1,016",64,0,0,"1,016",64,Provisional,,,,
202304,206900069,"Offal, edible; of sheep (excluding lamb), tongues, frozen",KGM,"60,828","7,277",0,0,"60,828","7,277",Provisional,,,,
