Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,,
201905,202200069,"Meat; of bovine animals, cuts with bone in n.e.c. in item no. 0202.20, frozen",KGM,"484,015","192,285",0,0,"484,015","192,285",Final,,,,
201905,202300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, frozen",KGM,"238,800,682","31,512,925",0,0,"238,800,682","31,512,925",Final,,,,
201905,202300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, frozen",KGM,"6,274,030","942,049",0,0,"6,274,030","942,049",Final,,,,
201905,202300011,"Meat; of bovine animals, boneless cuts of bull, frozen",KGM,"74,213,703","9,035,325",0,0,"74,213,703","9,035,325",Final,,,,
201905,202300021,"Meat; of bovine animals, boneless cuts of veal (bobby), frozen",KGM,"397,879","78,914",0,0,"397,879","78,914",Final,,,,
201905,202300029,"Meat; of bovine animals, boneless cuts of veal (other than bobby), frozen",KGM,"40,206","15,435",0,0,"40,206","15,435",Final,,,,
201905,203110008,"Meat; of swine, carcasses and half-carcasses, (other than wild pork), fresh or chilled",KGM,"1,828",344,0,0,"1,828",344,Final,,,,
201905,203120009,"Meat; of swine (other than wild pork), hams, shoulders and cuts thereof, with bone in, fresh or chilled",KGM,"2,496",180,0,0,"2,496",180,Final,,,,
201905,203190009,"Meat; of swine (other than wild pork), fresh or chilled, (excluding carcasses, half-carcasses, and hams, shoulders and cuts thereof, with bone in)",KGM,"2,513",362,0,0,"2,513",362,Final,,,,
201905,203220009,"Meat; of swine (other than wild pork), hams, shoulders and cuts thereof, with bone in, frozen",KGM,"32,669","5,440","2,847",547,"35,516","5,987",Final,,,,
201905,203290001,"Meat; of swine, wild pork, frozen (excluding carcasses, half-carcasses, hams, shoulders and cuts thereof, with bone in)",KGM,0,0,"10,211","1,305","10,211","1,305",Final,,,,
201905,203290011,"Meat; of swine n.e.c. in item no. 0203.2, frozen, meat bones and hocks",KGM,"1,710",280,0,0,"1,710",280,Final,,,,
201905,203290019,"Meat; of swine n.e.c. in item no. 0203.2, frozen, other than meat bones and hocks",KGM,"8,595","1,889",0,0,"8,595","1,889",Final,,,,
201905,204100038,"Meat; of sheep, lamb carcasses and half-carcasses, YM grade, fresh or chilled",KGM,"99,297","9,958",0,0,"99,297","9,958",Final,,,,
201905,204100042,"Meat; of sheep, lamb carcasses and half-carcasses, YX grade, fresh or chilled",KGM,"159,930","13,842",0,0,"159,930","13,842",Final,,,,
201905,204100048,"Meat; of sheep, lamb carcasses and half-carcasses n.e.c. in item no. 0204.10, fresh or chilled",KGM,"14,945",926,0,0,"14,945",926,Final,,,,
201905,204210038,"Meat; of sheep, mutton carcasses and half-carcasses, MM grade, fresh or chilled",KGM,"55,325","7,700",0,0,"55,325","7,700",Final,,,,
201905,204220001,"Meat; of sheep, lamb cuts with bone in, fresh or chilled (excluding carcasses and half-carcasses)",KGM,"35,949,111","2,395,631",0,0,"35,949,111","2,395,631",Final,,,,
201905,204220009,"Meat; of sheep (excluding lamb), cuts with bone in, fresh or chilled, (excluding carcasses and half-carcasses)",KGM,"17,337","1,161",0,0,"17,337","1,161",Final,,,,
201905,204230001,"Meat; of sheep, boneless cuts of lamb, fresh or chilled",KGM,"24,908,036","1,490,809",0,0,"24,908,036","1,490,809",Final,,,,
201905,204230009,"Meat; of sheep (excluding lamb), boneless cuts, fresh or chilled",KGM,"47,611","2,954",0,0,"47,611","2,954",Final,,,,
201905,204300012,"Meat; of sheep, lamb carcasses and half-carcasses, PH grade, frozen",KGM,"202,793","25,318",0,0,"202,793","25,318",Final,,,,
201905,204300028,"Meat; of sheep, lamb carcasses and half-carcasses, PX grade, frozen",KGM,"194,288","22,759",0,0,"194,288","22,759",Final,,,,
201905,204300032,"Meat; of sheep, lamb carcasses and half-carcasses, YL grade, frozen",KGM,"528,538","60,803",0,0,"528,538","60,803",Final,,,,
201905,204300038,"Meat; of sheep, lamb carcasses and half-carcasses, YM grade, frozen",KGM,"2,821,865","334,925",0,0,"2,821,865","334,925",Final,,,,
201905,204300042,"Meat; of sheep, lamb carcasses and half-carcasses, YX grade, frozen",KGM,"44,580","5,116",0,0,"44,580","5,116",Final,,,,
201905,204300048,"Meat; of sheep, lamb carcasses and half-carcasses n.e.c. in item no. 0204.30, frozen",KGM,"188,552","23,590",0,0,"188,552","23,590",Final,,,,
201905,204410002,"Meat; of sheep, hogget carcasses and half-carcasses, HL grade, frozen",KGM,699,96,0,0,699,96,Final,,,,
201905,204410022,"Meat; of sheep, mutton carcasses and half-carcasses, MF grade, frozen",KGM,"174,415","34,234",0,0,"174,415","34,234",Final,,,,
201905,204410028,"Meat; of sheep, mutton carcasses and half-carcasses, MH grade, frozen",KGM,"361,099","68,739",0,0,"361,099","68,739",Final,,,,
201905,204410032,"Meat; of sheep, mutton carcasses and half-carcasses, ML grade, frozen",KGM,"696,546","107,013",0,0,"696,546","107,013",Final,,,,
201905,204410038,"Meat; of sheep, mutton carcasses and half-carcasses, MM grade, frozen",KGM,"76,268","13,067",0,0,"76,268","13,067",Final,,,,
201905,204410042,"Meat; of sheep, mutton carcasses and half-carcasses, MX grade, frozen",KGM,"6,568,704","941,679",0,0,"6,568,704","941,679",Final,,,,
201905,204410048,"Meat; of sheep, mutton carcasses and half-carcasses n.e.c. in item no. 0204.41, frozen",KGM,"344,925","51,223",0,0,"344,925","51,223",Final,,,,
201905,204420001,"Meat; of sheep, lamb cuts with bone in, frozen (excluding carcasses and half-carcasses)",KGM,"217,246,825","23,102,313","9,015","1,237","217,255,840","23,103,550",Final,,,,
201905,204420009,"Meat; of sheep (excluding lamb), cuts with bone in, frozen (excluding carcasses and half-carcasses)",KGM,"16,424,543","2,452,776",0,0,"16,424,543","2,452,776",Final,,,,
201905,204430001,"Meat; of sheep, boneless cuts of lamb, frozen",KGM,"39,121,952","3,318,155",0,0,"39,121,952","3,318,155",Final,,,,
201905,204430009,"Meat; of sheep (excluding lamb), boneless cuts, frozen",KGM,"4,714,717","477,662",0,0,"4,714,717","477,662",Final,,,,
201905,204500000,"Meat; of goats, fresh, chilled or frozen",KGM,"1,940,434","195,455",0,0,"1,940,434","195,455",Final,,,,
201905,206100029,"Offal, edible; of bovine animals, tongues, fresh or chilled",KGM,"320,158","21,527",0,0,"320,158","21,527",Final,,,,
201905,206100039,"Offal, edible; of bovine animals, n.e.c. in item no. 0206.10, fresh or chilled",KGM,"579,405","52,927",0,0,"579,405","52,927",Final,,,,
201905,206210000,"Offal, edible; of bovine animals, tongues, frozen",KGM,"4,714,655","704,446",0,0,"4,714,655","704,446",Final,,,,
201905,206220000,"Offal, edible; of bovine animals, livers, frozen",KGM,"1,295,962","975,022","22,747","24,487","1,318,709","999,509",Final,,,,
201905,206290009,"Offal, edible; of bovine animals, hearts, frozen",KGM,"1,317,429","479,852",0,0,"1,317,429","479,852",Final,,,,
201905,206290011,"Offal, edible; of bovine animals, kidneys, frozen",KGM,"266,822","92,537",0,0,"266,822","92,537",Final,,,,
201905,206290019,"Offal, edible; of bovine animals, sweetbreads, frozen",KGM,"3,880",320,0,0,"3,880",320,Final,,,,
201905,206290029,"Offal, edible; of bovine animals, n.e.c. in item no. 0206.2, frozen",KGM,"14,262,074","2,343,441",0,0,"14,262,074","2,343,441",Final,,,,
201905,206490019,"Offal, edible; of swine, n.e.c. in item no. 0206.4, frozen",KGM,"42,000","3,000",0,0,"42,000","3,000",Final,,,,
201905,206900001,"Offal, edible; of lamb, brains, frozen",KGM,"76,926","6,673",0,0,"76,926","6,673",Final,,,,
201905,206900009,"Offal, edible; of lamb, hearts, frozen",KGM,"660,346","225,680",0,0,"660,346","225,680",Final,,,,
201905,206900011,"Offal, edible; of lamb, kidneys, frozen",KGM,"2,194,253","254,166",0,0,"2,194,253","254,166",Final,,,,
201905,206900019,"Offal, edible; of lamb, livers, frozen",KGM,"1,550,610","950,524",0,0,"1,550,610","950,524",Final,,,,
201905,206900021,"Offal, edible; of lamb, sweetbreads, frozen",KGM,"79,426","10,735",0,0,"79,426","10,735",Final,,,,
201905,206900029,"Offal, edible; of lamb, tongues, frozen",KGM,"206,709","28,668",0,0,"206,709","28,668",Final,,,,
201905,206900039,"Offal, edible; of lamb, n.e.c. in item no. 0206.90, frozen",KGM,"2,598,882","379,791",0,0,"2,598,882","379,791",Final,,,,
201905,206900049,"Offal, edible; of sheep (excluding lamb), hearts, frozen",KGM,"54,188","16,447",0,0,"54,188","16,447",Final,,,,
201905,206900059,"Offal, edible; of sheep (excluding lamb), livers, frozen",KGM,"579,604","321,275",0,0,"579,604","321,275",Final,,,,
201905,206900069,"Offal, edible; of sheep (excluding lamb), tongues, frozen",KGM,"12,164","1,519",0,0,"12,164","1,519",Final,,,,
201905,206900079,"Offal, edible; of sheep (excluding lamb), n.e.c. in item no. 0206.90, frozen",KGM,"493,263","121,538",0,0,"493,263","121,538",Final,,,,
201905,206900099,"Offal, edible; of goats, horses, asses, mules or hinnies, n.e.c. in item no. 0206.90, frozen",KGM,"13,990","4,580",0,0,"13,990","4,580",Final,,,,
201905,207110000,"Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, fresh or chilled",KGM,"16,436","6,741",0,0,"16,436","6,741",Final,,,,
201905,207120000,"Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, frozen",KGM,"1,154,427","402,265",0,0,"1,154,427","402,265",Final,,,,
201905,207130000,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, fresh or chilled",KGM,"308,101","28,198",0,0,"308,101","28,198",Final,,,,
201905,207141000,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen, livers",KGM,"14,579","10,080",0,0,"14,579","10,080",Final,,,,
201905,207149000,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen, excluding livers",KGM,"3,317,236","906,421",0,0,"3,317,236","906,421",Final,,,,
201905,207250000,"Meat and edible offal; of turkeys, not cut in pieces, frozen",KGM,"1,491",132,0,0,"1,491",132,Final,,,,
201905,207279000,"Meat and edible offal; of turkeys, cuts and offal, frozen, excluding livers",KGM,"14,919","5,175",0,0,"14,919","5,175",Final,,,,
201905,207410010,"Meat and edible offal; of ducks, not cut in pieces, fresh or chilled",KGM,394,54,0,0,394,54,Final,,,,
