Month,Harmonised System Code,Harmonised System Description,Unit Qty,Imports ($NZD vfd),Imports ($NZD cif),Imports Qty,Status
202305,0301190000,"Fish; live, ornamental, other than freshwater",KGM,"25,316","36,115","1,031",Provisional
202305,0302320011,"Fish; fresh or chilled, yellowfin tunas (Thunnus albacares), headed and gutted",KGM,"139,294","228,798","24,302",Provisional
202305,0302340012,"Fish; fresh or chilled, bigeye tunas (Thunnus obesus), headed and gutted",KGM,768,770,96,Provisional
202305,0302420010,"Fish; fresh or chilled, anchovies (Engraulis spp.), whole",KGM,"6,216","6,497",960,Provisional
202305,0302470015,"Fish; fresh or chilled, swordfish (Xiphias gladius), headed and gutted",KGM,"2,290","4,653",571,Provisional
202305,0302710010,"Fish; fresh or chilled, tilapias (Oreochromis spp.), whole",KGM,"26,393","26,459",700,Provisional
202305,0302710029,"Fish; fresh or chilled, tilapias (Oreochromis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"25,574","25,638","6,000",Provisional
202305,0302891079,"Fish; fresh or chilled, n.e.c. in heading 0302, whole",KGM,"14,033","14,068","2,140",Provisional
202305,0302899027,"Fish; fresh or chilled, monkfish, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"5,245","5,492",610,Provisional
202305,0302899079,"Fish; fresh or chilled, n.e.c. in heading 0302, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"33,197","33,280","4,500",Provisional
202305,0303230015,"Fish; frozen, tilapias (Oreochromis spp.), headed and gutted",KGM,"31,729","35,072","6,150",Provisional
202305,0303390097,"Fish; frozen, flat fish, n.e.c. in item no. 0303.3, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99, other than whole or headed and gutted",KGM,11,31,20,Provisional
202305,0303540025,"Fish; frozen, mackerel (Scomber scombrus, Scomber japonicus), headed and gutted",KGM,"3,302","3,731",622,Provisional
202305,0303630015,"Fish; frozen, cod (Gadus morhua, Gadus ogac, Gadus macrocephalus), headed and gutted",KGM,"1,075","1,167",32,Provisional
202305,0303690049,"Fish; frozen, n.e.c. in item no. 0303.6, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99, other than whole or headed and gutted",KGM,"2,044","2,328",107,Provisional
202305,0303891065,"Fish; frozen, whitebait, whole",KGM,"218,050","218,050","12,250",Provisional
202305,0303891079,"Fish; frozen, n.e.c. in heading 0303, whole",KGM,"11,070","12,385","1,250",Provisional
202305,0303892079,"Fish; frozen, n.e.c. in heading 0303, headed and gutted",KGM,"33,818","37,200","4,704",Provisional
202305,0303899014,"Fish; frozen, barracouta, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99, other than whole or headed and gutted",KGM,746,903,120,Provisional
202305,0303899079,"Fish; frozen, n.e.c. in heading 0303, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99, other than whole or headed and gutted",KGM,"4,126","4,634",480,Provisional
202305,0303990000,"Fish; frozen, fish fins (other than shark fins), heads, tails, maws and other edible fish offal",KGM,"82,754","82,961","12,620",Provisional
202305,0304320000,"Fish fillets; fresh or chilled, catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)",KGM,"35,967","39,246","10,500",Provisional
202305,0304440015,"Fish fillets; fresh or chilled, hoki",KGM,"435,902","440,677","38,186",Provisional
202305,0304610000,"Fish fillets; frozen, tilapias (Oreochromis spp.)",KGM,"30,056","33,884","7,490",Provisional
202305,0304620000,"Fish fillets; frozen, catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)",KGM,"273,913","288,734","47,980",Provisional
202305,0304790010,"Fish fillets; frozen, hoki, in blocks",KGM,"75,417","77,035","19,058",Provisional
202305,0304790019,"Fish fillets; frozen, hoki, other than in blocks",KGM,"336,408","344,933","44,290",Provisional
202305,0304790031,"Fish fillets; frozen, southern blue whiting, in blocks",KGM,"32,314","46,794","31,735",Provisional
202305,0304790035,"Fish fillets; frozen, southern blue whiting, other than in blocks",KGM,"227,294","238,117","30,070",Provisional
202305,0304810000,"Fish fillets; frozen, salmon, Pacific (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou, Oncorhynchus rhodurus), Atlantic (Salmo salar), and Danube (Hucho hucho)",KGM,"859,992","866,631","32,459",Provisional
202305,0304860000,"Fish fillets; frozen, herrings (Clupea harengus, Clupea pallasii)",KGM,"47,434","58,699","5,330",Provisional
202305,0304870019,"Fish fillets; frozen, tunas (of the genus Thunnus), skipjack tuna (stripe-bellied bonito) (Katsuwonus pelamis), other than southern bluefin",KGM,"601,682","608,325","21,750",Provisional
202305,0304890057,"Fish fillets; frozen, other than in blocks, oreo dory, smooth",KGM,"454,148","463,458","21,550",Provisional
202305,0304890099,"Fish fillets; frozen, other than in blocks, n.e.c. in item no. 0304.89",KGM,"73,895","75,290","4,901",Provisional
202305,0304960019,"Fish meat, excluding fillets, whether or not minced; frozen, dogfish and other sharks, other than minced blocks or surimi",KGM,"30,738","30,815","2,500",Provisional
202305,0304990039,"Fish meat, excluding fillets, whether or not minced; frozen, n.e.c. in item no. 0304.9",KGM,"3,713","4,031",357,Provisional
202305,0305200019,"Fish; livers, roes and milt of fish, smoked, salted or in brine, whether or not cooked before or during the smoking process",KGM,"25,535","26,643",450,Provisional
202305,0305390011,"Fish fillets; dried, n.e.c. in item no. 0305.3",KGM,"9,555","9,974",284,Provisional
202305,0305410010,"Fish; smoked, whether or not cooked before or during smoking, salmon, Pacific (Oncorhynchus nerka, gorbuscha, keta, tschawytscha, kisutch, masou, rhodurus), Atlantic (Salmo salar) and Danube (Hucho hucho), includes fillets, but excludes edible fish offal",KGM,"2,784,660","2,821,423","73,094",Provisional
202305,0305490025,"Fish; smoked, whether or not cooked before or during smoking, mackerel, includes fillets, but excludes edible fish offal",KGM,"25,111","25,673",922,Provisional
202305,0305490089,"Fish; smoked, whether or not cooked before or during smoking, n.e.c. in item no. 0305.4, includes fillets, but excludes edible fish offal",KGM,"6,033","6,166",525,Provisional
202305,0305530000,"Fish; dried, whether or not salted but not smoked, fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae, other than cod",KGM,101,106,7,Provisional
202305,0305540000,"Dried herrings, anchovies, sardines, sardinella, brisling or sprats, mackerel (incl Indian, jack, or horse), seerfishes, jacks, crevalles, cobia, silver pomfrets, Pacific saury, scads, capelin, swordfish, Kawakawa, bonitos, marlins, sailfishes, spearfish",KGM,"2,948","3,046",465,Provisional
202305,0305590011,"Fish; dried, whether or not salted but not smoked, other than edible fish offal, n.e.c. in item no. 0305.5",KGM,"68,661","73,644","2,646",Provisional
202305,0305630010,"Fish; salted or in brine, not dried or smoked, other than edible fish offal, anchovies (Engrails spp.)",KGM,"5,999","6,265",263,Provisional
202305,0305690011,"Fish; salted or in brine, not dried or smoked, other than edible fish offal, n.e.c. in item no. 0305.6",KGM,419,433,127,Provisional
202305,0306110029,"Crustaceans; frozen, rock lobsters and other sea crawfish (Palinurus spp., Panulirus spp., Jasus spp.), in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water, other than whole or tails",KGM,"103,738","107,285","4,590",Provisional
202305,0306120010,"Crustaceans; frozen, lobsters (Homarus spp.), in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",KGM,"1,420","1,515",65,Provisional
202305,0306140010,"Crustaceans; frozen, crabs, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",KGM,"150,838","155,523","7,469",Provisional
202305,0306160000,"Crustaceans; frozen, cold-water shrimps and prawns (Pandalus spp., Crangon crangon), in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",KGM,181,723,12,Provisional
202305,0306170000,"Crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",KGM,"4,888,924","4,962,692","378,317",Provisional
202305,0306952900,"Crustaceans; shrimps and prawns, other than smoked or whole, cooked",KGM,"10,231","10,639","4,826",Provisional
202305,0307110019,"Molluscs; New Zealand Dredge oysters (Ostrea chilensis, Tiostrea chilensis), whether in shell or not, farmed, fresh or chilled, meat",DZN,"6,875","7,332",250,Provisional
202305,0307220002,"Molluscs; scallops and other molluscs of the family Pectinidae, whether in shell or not, frozen",KGM,"663,822","669,236","22,055",Provisional
202305,0307290002,"Molluscs; scallops and other molluscs of the family Pectinidae, whether in shell or not, dried, salted, in brine, or smoked, cooked or not before or during the smoking process",KGM,"2,233","2,306",120,Provisional
202305,0307430013,"Molluscs; squid, frozen, whole",KGM,"224,866","232,865","30,795",Provisional
202305,0307430017,"Molluscs; squid, frozen, tubes or steaks",KGM,"411,058","418,653","51,435",Provisional
202305,0307430029,"Molluscs; squid, frozen, n.e.c. in item no. 0305.43",KGM,"186,343","187,913","15,680",Provisional
202305,0307490043,"Molluscs; squid, whether in shell or not, dried",KGM,"5,681","5,828",363,Provisional
202305,0307490049,"Molluscs; squid, whether in shell or not, salted, in brine, or smoked, cooked or not before or during the smoking process",KGM,"155,086","158,360","22,260",Provisional
202305,0307520000,"Molluscs; octopus (Octopus spp.), frozen",KGM,"41,266","43,097","2,500",Provisional
202305,0307590000,"Molluscs; octopus (Octopus spp.), dried, salted, in brine, or smoked, cooked or not before or during the smoking process",KGM,"9,856","10,030",506,Provisional
202305,0307720015,"Molluscs; clams, other than cockles and tuatua, whether in shell or not, frozen",KGM,"74,361","74,547","8,400",Provisional
202305,0307990002,"Molluscs; n.e.c. in heading 0307, whether in shell or not, dried, salted, in brine, or smoked, cooked or not before or during the smoking process",KGM,465,480,40,Provisional
202305,0308199010,"Aquatic invertebrates; sea cucumbers (Stichopus japonicus, Holothuroidea), dried, salted or in brine",KGM,"18,227","19,243",183,Provisional
202305,0308210000,"Aquatic invertebrates; sea urchins (Strongylocentrotus spp., Paracentrotus lividus, Loxechinus albus, Echinus esculentus), live, fresh or chilled",KGM,"197,050","209,898","2,201",Provisional
202305,0308220000,"Aquatic invertebrates; sea urchins (Strongylocentrotus spp., Paracentrotus lividus, Loxechinus albus, Echinus esculentus), frozen",KGM,"3,456","4,140",234,Provisional
202305,0308309000,"Aquatic invertebrates; jellyfish (Rhopilema spp.), dried, salted or in brine",KGM,"3,279","3,387",999,Provisional
202305,0308902000,"Aquatic invertebrates; other than crustaceans, molluscs, sea urchins, sea cucumbers and jellyfish, frozen",KGM,"5,595","5,698",135,Provisional
202305,0401200901,"Dairy produce; milk and cream, not concentrated, not containing added sugar or other sweetening matter, of a fat content, by weight, exceeding 1% but not exceeding 6%, UHT milk",LTR,"170,927","179,311","88,049",Provisional
202305,0401400019,"Dairy produce; milk and cream, not concentrated, not containing added sugar or other sweetening matter, of a fat content, by weight, exceeding 6% but not exceeding 10%, other than fresh",KGM,"36,721","37,776","2,000",Provisional
202305,0401500019,"Dairy produce; milk and cream, not concentrated, not containing added sugar or other sweetening matter, of a fat content, by weight, exceeding 10%, other than fresh",KGM,"650,520","719,346","121,247",Provisional
202305,0402100002,"Dairy produce; milk and cream, concentrated or containing added sugar or other sweetening matter, skimmed milk powder, spray process, fat content not over 1.5%",KGM,"206,475","222,229","91,875",Provisional
202305,0402100009,"Dairy produce; milk and cream, concentrated or containing added sugar or other sweetening matter, skimmed milk powder, not spray process, fat content not over 1.5%",KGM,"203,925","204,643","22,111",Provisional
202305,0402100018,"Dairy produce; milk and cream, concentrated or containing added sugar or other sweetening matter, in powder, granules or other solid forms, fat content not over 1.5%, other than skimmed milk powder",KGM,989,"1,321",300,Provisional
202305,0402210001,"Dairy produce; whole milk powder, concentrated, not containing added sugar or other sweetening matter, of a fat content exceeding 1.5% (by weight), prepared for use as infants' or invalids' foods",KGM,"218,645","226,908","12,706",Provisional
202305,0402210019,"Dairy produce; whole milk powder, concentrated, not containing added sugar or other sweetening matter, of a fat content exceeding 1.5% (by weight), n.e.c. in item no. 0402.21",KGM,"3,094","3,224",151,Provisional
202305,0402210029,"Dairy produce; milk and cream, in powder, granules or other solid forms, concentrated, no added sweetening matter, of a fat content over 1.5% (by weight), n.e.c. in item no. 0402.21",KGM,"53,850","55,021","4,850",Provisional
202305,0402290001,"Dairy produce; whole milk powder, containing added sugar or other sweetening matter, of a fat content exceeding 1.5% (by weight), prepared for use as infants' or invalids' foods",KGM,"12,159","13,282",536,Provisional
202305,0402290019,"Dairy produce; whole milk powder, containing added sugar or other sweetening matter, of a fat content exceeding 1.5% (by weight), n.e.c. in item no. 0402.29",KGM,"4,237","4,450",324,Provisional
202305,0402290029,"Dairy produce; milk and cream, in powder, granules or other solid forms, containing added sugar or other sweetening matter, of a fat content exceeding 1.5% (by weight), n.e.c. in item no. 0402.29",KGM,"46,167","47,424","5,066",Provisional
202305,0402910000,"Dairy produce; milk and cream, concentrated, not containing added sugar or other sweetening matter, other than in powder, granules or other solid forms",KGM,"6,866","7,530","2,012",Provisional
202305,0402990010,"Dairy produce; milk and cream, concentrated, containing added sugar or other sweetening matter, condensed",KGM,"1,839,879","1,969,351","376,883",Provisional
202305,0402990015,"Dairy produce; milk and cream, concentrated, containing added sugar or other sweetening matter, evaporated",KGM,"17,381","18,018","4,103",Provisional
202305,0402990021,"Dairy produce, milk and cream, other than concentrated, containing added sugar or other sweetening matter, Ultra-High Temperature (UHT) milk",LTR,"230,526","231,990","39,942",Provisional
202305,0402990029,"Dairy produce, milk and cream, other than concentrated, containing added sugar or other sweetening matter, other than in powder, granules or other solid forms, other than Ultra-High Temperature (UHT) milk",KGM,"17,391","17,861","2,365",Provisional
202305,0403200500,"Dairy produce; yoghurt, whether or not concentrated, containing added spices, coffee or coffee extract, plants or parts of plants, cereals or bakers' wares",KGM,"1,089","1,089",225,Provisional
202305,0403200900,"Dairy produce; yoghurt, whether or not concentrated or containing added sugar or other sweetening matter or flavoured or containing added fruit, nuts or cocoa n.e.c. in item 0403.20",KGM,"651,165","677,171","58,713",Provisional
202305,0403901100,"Dairy produce; buttermilk, curdled milk and cream, kephir and other fermented or acidified milk and cream, concentrated or sweetened, with or without flavouring, fruit, nuts, cocoa, liquid or semi-solid (excluding yoghurt)",KGM,"60,626","64,220","18,380",Provisional
202305,0403901901,"Dairy produce; buttermilk powder, produced by a spray process, concentrated or sweetened, with or without flavouring, added fruit, nuts or cocoa",KGM,"1,706","1,866",275,Provisional
202305,0403901939,"Dairy produce; fermented or acidified milk and cream, other than condensed or evaporated, n.e.c. in heading no. 0403",KGM,"23,823","25,682","3,604",Provisional
202305,0404100000,"Dairy produce; whey, whether or not concentrated or containing added sugar or other sweetening matter",KGM,"5,990,518","6,351,466","1,050,063",Provisional
202305,0404901119,"Dairy produce; natural milk constituents (excluding whey), concentrated or sweetened, liquid, not in aerosol containers",KGM,542,556,144,Provisional
202305,0404901900,"Dairy produce; natural milk constituents (excluding whey), concentrated or sweetened, other than liquid or semi-solid, n.e.c. in chapter 4",KGM,"178,122","185,991","32,780",Provisional
202305,0405100009,"Dairy produce; derived from milk, butter, salted, creamery, in pats",KGM,"241,610","254,971","13,878",Provisional
202305,0405200000,Dairy produce; dairy spreads,KGM,"6,470","6,634",576,Provisional
202305,0405900005,"Dairy produce; fats and oils derived from milk (other than butter or dairy spreads), ghee",KGM,"254,991","262,166","21,082",Provisional
202305,0405900009,"Dairy produce; fats and oils derived from milk (other than butter or dairy spreads), other than anhydrous milk fat or ghee",KGM,789,942,9,Provisional
202305,0406100001,"Dairy produce; fresh cheese (including whey cheese), not fermented",KGM,"1,634,390","1,723,578","158,819",Provisional
202305,0406100009,Dairy produce; curd,KGM,"9,179","9,193",571,Provisional
202305,0406200029,"Dairy produce; cheese, grated or powdered, n.e.c. in item no. 0406.20",KGM,"2,552,286","2,569,350","328,971",Provisional
202305,0406300000,"Dairy produce; cheese, processed (not grated or powdered)",KGM,"1,206,119","1,232,505","120,862",Provisional
202305,0406400000,"Dairy produce; cheese, blue-veined and other cheese containing veins produced by Penicillium roqueforti (not grated, powdered or processed)",KGM,"224,148","241,588","11,340",Provisional
202305,0406900011,"Dairy produce; cheese, cheddar (other than in tins, not grated, powdered or processed)",KGM,"1,449,038","1,529,047","177,103",Provisional
202305,0406900031,"Dairy produce; cheese, gouda (other than in tins, not grated, powdered or processed)",KGM,"91,012","92,729","4,627",Provisional
202305,0406900039,"Dairy produce; cheese, (other than in tins, not grated, powdered or processed), n.e.c. in item no. 0406.90",KGM,"6,980,628","7,309,770","828,200",Provisional
202305,0407110000,"Birds' eggs, in shell; fresh, fertilised eggs for incubation, of fowls of the species Gallus domesticus (domestic hens)",DZN,"123,523","147,944","1,110",Provisional
202305,0407900000,"Birds' eggs, in shell; preserved or cooked",KGM,"57,609","59,289","11,965",Provisional
202305,0408190009,"Eggs; birds' eggs, yolks, cooked by steaming or by boiling in water, moulded, frozen or otherwise preserved, whether or not containing added sugar or other sweetening matter",KGM,"39,718","41,030","1,980",Provisional
202305,0408910000,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",KGM,"900,747","932,530","48,020",Provisional
202305,0408990001,"Eggs; birds' eggs (not in shell, excluding yolks only), liquid, whether or not containing added sugar or other sweetening matter",KGM,"98,177","102,243","14,838",Provisional
202305,0408990009,"Eggs; birds' eggs (not in shell, excluding yolks only), cooked by steaming or boiling in water, moulded, frozen or otherwise preserved, whether or not containing added sugar or other sweetening matter",KGM,"31,056","32,191","8,698",Provisional
202305,0409000025,"Honey; natural honey, extracted, in retail packs, other than Manuka honey as defined by the Ministry for Primary Industries",KGM,"248,878","249,738","18,368",Provisional
202305,0410100500,"Animal products; insects, n.e.c. in item 0410.10",KGM,"8,651","8,832","1,920",Provisional
202305,0410900000,"Animal products; edible products of animal origin, not elsewhere specified or included, other than insects",KGM,"27,991","31,196",257,Provisional
