Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,,
202203,202200069,"Meat; of bovine animals, cuts with bone in n.e.c. in item no. 0202.20, frozen",KGM,"586,902","244,008",0,0,"586,902","244,008",Final,,,,
202203,202300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, frozen",KGM,"204,359,202","20,367,378",0,0,"204,359,202","20,367,378",Final,,,,
202203,202300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, frozen",KGM,"7,718,274","906,365",0,0,"7,718,274","906,365",Final,,,,
202203,202300011,"Meat; of bovine animals, boneless cuts of bull, frozen",KGM,"146,518,342","13,335,862",0,0,"146,518,342","13,335,862",Final,,,,
202203,202300021,"Meat; of bovine animals, boneless cuts of veal (bobby), frozen",KGM,"433,220","76,476",0,0,"433,220","76,476",Final,,,,
202203,202300029,"Meat; of bovine animals, boneless cuts of veal (other than bobby), frozen",KGM,"122,062","18,550",0,0,"122,062","18,550",Final,,,,
202203,203120009,"Meat; of swine (other than wild pork), hams, shoulders and cuts thereof, with bone in, fresh or chilled",KGM,"2,542",320,0,0,"2,542",320,Final,,,,
202203,203220009,"Meat; of swine (other than wild pork), hams, shoulders and cuts thereof, with bone in, frozen",KGM,860,124,"3,223",455,"4,083",579,Final,,,,
202203,203290019,"Meat; of swine n.e.c. in item no. 0203.2, frozen, other than meat bones and hocks",KGM,"194,732","25,094",0,0,"194,732","25,094",Final,,,,
202203,204100038,"Meat; of sheep, lamb carcasses and half-carcasses, YM grade, fresh or chilled",KGM,"108,788","8,305",0,0,"108,788","8,305",Final,,,,
202203,204100042,"Meat; of sheep, lamb carcasses and half-carcasses, YX grade, fresh or chilled",KGM,"77,847","5,693",0,0,"77,847","5,693",Final,,,,
202203,204100048,"Meat; of sheep, lamb carcasses and half-carcasses n.e.c. in item no. 0204.10, fresh or chilled",KGM,"4,486",347,0,0,"4,486",347,Final,,,,
202203,204220001,"Meat; of sheep, lamb cuts with bone in, fresh or chilled (excluding carcasses and half-carcasses)",KGM,"43,630,784","2,173,314",0,0,"43,630,784","2,173,314",Final,,,,
202203,204220009,"Meat; of sheep (excluding lamb), cuts with bone in, fresh or chilled, (excluding carcasses and half-carcasses)",KGM,"3,158",203,0,0,"3,158",203,Final,,,,
202203,204230001,"Meat; of sheep, boneless cuts of lamb, fresh or chilled",KGM,"30,763,493","1,416,293",0,0,"30,763,493","1,416,293",Final,,,,
202203,204230009,"Meat; of sheep (excluding lamb), boneless cuts, fresh or chilled",KGM,"87,827","11,226",0,0,"87,827","11,226",Final,,,,
202203,204300002,"Meat; of sheep, lamb carcasses and half-carcasses, A grade, frozen",KGM,"610,931","55,813",0,0,"610,931","55,813",Final,,,,
202203,204300018,"Meat; of sheep, lamb carcasses and half-carcasses, PL grade, frozen",KGM,"184,028","17,436",0,0,"184,028","17,436",Final,,,,
202203,204300022,"Meat; of sheep, lamb carcasses and half-carcasses, PM grade, frozen",KGM,"1,713,506","194,531",0,0,"1,713,506","194,531",Final,,,,
202203,204300028,"Meat; of sheep, lamb carcasses and half-carcasses, PX grade, frozen",KGM,"119,503","10,805",0,0,"119,503","10,805",Final,,,,
202203,204300032,"Meat; of sheep, lamb carcasses and half-carcasses, YL grade, frozen",KGM,"804,786","80,164",0,0,"804,786","80,164",Final,,,,
202203,204300038,"Meat; of sheep, lamb carcasses and half-carcasses, YM grade, frozen",KGM,"3,352,229","297,125",0,0,"3,352,229","297,125",Final,,,,
202203,204300042,"Meat; of sheep, lamb carcasses and half-carcasses, YX grade, frozen",KGM,"499,151","42,229",0,0,"499,151","42,229",Final,,,,
202203,204300048,"Meat; of sheep, lamb carcasses and half-carcasses n.e.c. in item no. 0204.30, frozen",KGM,"1,784,795","190,466",0,0,"1,784,795","190,466",Final,,,,
202203,204410022,"Meat; of sheep, mutton carcasses and half-carcasses, MF grade, frozen",KGM,"1,314,706","153,912",0,0,"1,314,706","153,912",Final,,,,
202203,204410028,"Meat; of sheep, mutton carcasses and half-carcasses, MH grade, frozen",KGM,"1,780,102","208,883",0,0,"1,780,102","208,883",Final,,,,
202203,204410032,"Meat; of sheep, mutton carcasses and half-carcasses, ML grade, frozen",KGM,"3,981,441","477,939",0,0,"3,981,441","477,939",Final,,,,
202203,204410038,"Meat; of sheep, mutton carcasses and half-carcasses, MM grade, frozen",KGM,"3,493,313","436,799",0,0,"3,493,313","436,799",Final,,,,
202203,204410042,"Meat; of sheep, mutton carcasses and half-carcasses, MX grade, frozen",KGM,"28,315,672","3,464,076",0,0,"28,315,672","3,464,076",Final,,,,
202203,204410048,"Meat; of sheep, mutton carcasses and half-carcasses n.e.c. in item no. 0204.41, frozen",KGM,"1,185,152","167,508",0,0,"1,185,152","167,508",Final,,,,
202203,204410058,"Meat; of sheep, ram carcasses and half-carcasses, frozen",KGM,"43,826","6,133",0,0,"43,826","6,133",Final,,,,
202203,204420001,"Meat; of sheep, lamb cuts with bone in, frozen (excluding carcasses and half-carcasses)",KGM,"272,262,808","22,168,689",0,0,"272,262,808","22,168,689",Final,,,,
202203,204420009,"Meat; of sheep (excluding lamb), cuts with bone in, frozen (excluding carcasses and half-carcasses)",KGM,"39,651,472","5,419,900",0,0,"39,651,472","5,419,900",Final,,,,
202203,204430001,"Meat; of sheep, boneless cuts of lamb, frozen",KGM,"42,484,671","2,631,228",0,0,"42,484,671","2,631,228",Final,,,,
202203,204430009,"Meat; of sheep (excluding lamb), boneless cuts, frozen",KGM,"8,122,647","535,844",0,0,"8,122,647","535,844",Final,,,,
202203,204500000,"Meat; of goats, fresh, chilled or frozen",KGM,"377,540","24,918",0,0,"377,540","24,918",Final,,,,
202203,206100029,"Offal, edible; of bovine animals, tongues, fresh or chilled",KGM,"230,614","8,793",0,0,"230,614","8,793",Final,,,,
202203,206100039,"Offal, edible; of bovine animals, n.e.c. in item no. 0206.10, fresh or chilled",KGM,"623,901","46,193",0,0,"623,901","46,193",Final,,,,
202203,206210000,"Offal, edible; of bovine animals, tongues, frozen",KGM,"8,443,654","728,434",0,0,"8,443,654","728,434",Final,,,,
202203,206220000,"Offal, edible; of bovine animals, livers, frozen",KGM,"1,261,837","667,353",0,0,"1,261,837","667,353",Final,,,,
202203,206290009,"Offal, edible; of bovine animals, hearts, frozen",KGM,"1,268,868","288,883","18,194","4,089","1,287,062","292,972",Final,,,,
