TimePeriod,Current account; Goods; Exports (fob) total,Current account; Services; Exports total,Current account; Goods; Imports (fob) total,Current account; Services; Imports total
2017Q2,14343,5309,13311,4485
2017Q3,12106,4874,14258,4910
2017Q4,14719,5979,15909,4784
2018Q1,13586,7688,13971,4447
2018Q2,15221,5815,15028,4903
2018Q3,13617,5145,16824,5471
2018Q4,15096,6295,16797,5325
2019Q1,14453,7970,12596,4996
2019Q2,16221,5971,15291,5353
2019Q3,13391,5550,16945,5900
2019Q4,15840,6577,16676,5625
